TaxonCode,CommonName,ScientificName
LARB,lark bunting,Calamospiza melanocorys
LASP,lark sparrow,Chondestes grammacus
LBHE,little blue heron,Egretta caerulea
LEBI,least bittern,Ixobrychus exilis
LEFL,least flycatcher,Empidonax minimus
LETE,least tern,Sternula antillarum
LISP,lincoln's sparrow,Melospiza lincolnii
LOSH,loggerhead shrike,Lanius ludovicianus
LOWA,louisiana waterthrush,Parkesia motacilla
MALL,mallard,Anas platyrhynchos
MAWA,magnolia warbler,Setophaga magnolia
MAWR,marsh wren,Cistothorus palustris
MIKI,mississippi kite,Ictinia mississippiensis
MODO,mourning dove,Zenaida macroura
NAWA,nashville warbler,Leiothlypis ruficapilla
NOBO,northern bobwhite,Colinus virginianus
NOCA,northern cardinal,Cardinalis cardinalis
NOHA,northern harrier,Circus cyaneus
NOMO,northern mockingbird,Mimus polyglottos
NOPA,northern parula,Setophaga americana
NOWA,northern waterthrush,Parkesia noveboracensis
NRWS,northern rough-winged swallow,Stelgidopteryx serripennis
NSHO,northern shoveler,Anas clypeata
OROR,orchard oriole,Icterus spurius
OSFL,olive-sided flycatcher,Contopus cooperi
OVEN,ovenbird,Seiurus aurocapilla
PABU,painted bunting,Passerina ciris
PAWA,palm warbler,Setophaga palmarum
PBGR,pied-billed grebe,Podilymbus podiceps
PEFA,peregrine falcon,Falco peregrinus
PHVI,philadelphia vireo,Vireo philadelphicus
PIWA,pine warbler,Setophaga pinus
PIWO,pileated woodpecker,Dryocopus pileatus
PRAW,prairie warbler,Setophaga discolor
PROW,prothonotary warbler,Protonotaria citrea
PUFI,purple finch,Haemorhous purpreus
PUGA,purple gallinule,Porphyrio martinica
PUMA,purple martin,Progne subis
RBGR,rose-breasted grosbeak,Pheucticus ludovicianus
RBGU,ring-billed gull,Larus delawarensis
RBWO,red-bellied woodpecker,Melanerpes carolinus
RCKI,ruby-crowned kinglet,Regulus calendula
REDH,redhead,Aythya americana
REVI,red-eyed vireo,Vireo olivaceus
RHWO,red-headed woodpecker,Melanerpes erythrocephalus
ROPI,rock pigeon,Columba livia
ROWR,rock wren,Salpinctes obsoletus
RNEP,ring-necked pheasant,Phasianus colchicus
RSHA,red-shouldered hawk,Buteo lineatus
RTHA,red-tailed hawk,Buteo jamaicensis
RTHU,ruby-throated hummingbird,Archilochus colubris
RUDU,ruddy duck,Oxyura jamaicensis
RWBL,red-winged blackbird,Agelaius phoeniceus
SAPH,say's phoebe,Sayornis saya
SAVS,savannah sparrow,Passerculus sandwichensis
SCTA,scarlet tanager,Piranga olivacea
SESA,semipalmated sandpiper,Calidris pusilla
SEWR,sedge wren,Cistothorus platensis
SNEG,snowy egret,Egretta thula
SORA,sora,Porzana carolina
SOSA,solitary sandpiper,Tringa solitaria
SOSP,song sparrow,Melospiza melodia
SPSA,spotted sandpiper,Actitis macularius
SPTO,spotted (rufous-side) towhee,Pipilo maculatus
SSHA,sharp-shinned hawk,Accipiter striatus
STFL,scissor-tailed flycatcher,Tyrannus forficatus
STGR,sharp-tailed grouse,Tympanuchus phasianellus
SUTA,summer tanager,Piranga rubra
SWHA,swainson's hawk,Buteo swainsoni
SWSP,swamp sparrow,Melospiza georgiana
SWTH,swainson's thrush,Catharus ustulatus
TEWA,tennessee warbler,Leiothlypis peregrina
TRES,tree swallow,Tachycineta bicolor
TUTI,tufted titmouse,Baeolophus bicolor
TUVU,turkey vulture,Cathartes aura
UPSA,upland sandpiper,Bartramia longicauda
VEER,veery,Catharus fuscescens
VESP,vesper sparrow,Pooecetes gramineus
WAVI,warbling vireo,Vireo gilvus
WBNU,white-breasted nuthatch,Sitta carolinensis
WCSP,white-crowned sparrow,Zonotrichia leucophrys
WEKI,western kingbird,Tyrannus verticalis
WEME,western meadowlark,Sturnella neglecta
WEVI,white-eyed vireo,Vireo griseus
WEWA,worm-eating warbler,Helmitheros vermivorum
WFIB,white-faced ibis,Plegadis chihi
WHIB,white ibis,Eudocimus albus
WIFL,willow flycatcher,Empidonax traillii
WIPH,wilson's phalarope,Phalaropus tricolor
WITU,wild turkey,Meleagris gallopavo
WIWA,wilson's warbler,Cardellina pusilla
WODU,wood duck,Aix sponsa
WOTH,wood thrush,Hylocichla mustelina
EWPW,Eastern whip-poor-will,Antrostomus vociferus
WTSP,white-throated sparrow,Zonotrichia albicollis
WWDO,white-winged dove,Zenaida asiatica
YBCH,yellow-breasted chat,Icteria virens
YBCU,yellow-billed cuckoo,Coccyzus americanus
YBFL,yellow-bellied flycatcher,Empidonax flaviventris
YBSA,yellow-bellied sapsucker,Sphyrapicus varius
YEWA,yellow warbler,Setophaga petechia
YHBL,yellow-headed blackbird,Xanthocephalus xanthocephalus
YRWA,yellow-rumped warbler,Setophaga coronata
NOFL,northern flicker,Colaptes auratus
YTVI,yellow-throated vireo,Vireo flavifrons
YTWA,yellow-throated warbler,Setophaga dominica
ALFL,Alder Flycatchetr,Empidonax alnorum
DEJU,Darl-eyed Junco,Junco hyemalis
BHVI,Blue-headed Vireo,Vireo solitarius
OCWA,Orange-crowned Warbler,Leiothlypis celata
RUBL,rusty blackbird,Euphagus carolinus
WEFL,Western Flycatcher,Empidonax difficilis
