ParkName,ParkCode,PeriodID,EventID,SurveyNumber,Round,DeerDate,StartTime,BeginningTemperatureInCelsius,BeginningHumidityInPercent,BeginningWindInMetersPerSecond,BeginningWindDirectionInDegrees,BeginningPrecipitation,EndTime,EndingTemperatureInCelsius,EndingHumidityInPercent,EndingWindInMetersPerSecond,EndingWindDirectionInDegrees,EndingPrecipitation,MoonIlluminationInPercent,DeerTotal,BeginningCloudCoverInPercent,EndingCloudCoverInPercent,VisibleAreaInSquareKilometers,DeerID,Year,Group,SideOfVehicle,DistanceInMeters,AngleInDegrees,QuadrantCompass,DeerNumber,VegetationType,Comment,GPSDate,GPSTime,GlobalID,LongitudeInDecimalDegrees,LatitudeInDecimalDegrees,GeodeticDatum,VerbatimCoordinates,VerbatimCoordinatesSystem,VerbatimSRS,dwcType,BasisofRecord,ScientificName,TaxonRank
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,11,2005,3,Right,23,90,-9999,2,Grassland/Prairie,NA,2005-03-02,19:38:00,{CD03913A-D527-4F52-9732-A1DECA7C16D9},-93.40068893,37.11114959,EPSG:4326,15N 464400.157E 4107277.78N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,12,2005,4,Right,20,90,-9999,3,Grassland/Prairie,NA,2005-03-02,19:47:09,{BF0A1727-E735-4257-83EA-AA3041D00AF5},-93.40442029,37.10002578,EPSG:4326,15N 464063.381E 4106045.155N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,13,2005,5,Right,25,90,-9999,2,Grassland/Prairie,NA,2005-03-02,19:49:31,{079C2E43-9A26-422A-9A26-66350B60D9FF},-93.40438566,37.09964645,EPSG:4326,15N 464066.28E 4106003.059N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,14,2005,6,Right,44,90,-9999,5,Grassland/Prairie,NA,2005-03-02,19:51:34,{F7FC198B-8D89-4358-9DE2-5C88F8312D36},-93.40406112,37.09733517,EPSG:4326,15N 464094.028E 4105746.533N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,15,2005,7,Right,21,90,-9999,3,Grassland/Prairie,NA,2005-03-02,19:56:52,{9CD8A2E9-E5B4-49BB-9AEE-F5733D8F7980},-93.40363242,37.09423066,EPSG:4326,15N 464130.66E 4105401.969N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,16,2005,8,Right,64,90,-9999,4,Riparian Grassland,NA,2005-03-02,19:59:17,{A9E2FE5A-6042-4B5C-A798-9B9C4915DF7F},-93.40351765,37.09366115,EPSG:4326,15N 464140.59E 4105338.747N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,17,2005,9,Left,55,90,-9999,2,Riparian Forest,NA,2005-03-02,20:02:15,{E9E44498-8EE8-40AD-8C57-7ECBA6C7FDF1},-93.40350645,37.09227588,EPSG:4326,15N 464140.932E 4105185.067N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar042111,3,C,2005-03-04,21:11:00,6.8,70.8,0,-9999,No rain,21:41:00,8.8,64,0,-9999,No rain,44,15,None present,None present,0.74,18,2005,5,Left,173,90,-9999,2,Riparian Grassland,NA,2005-03-04,21:37:02,{845B1F8E-4FE6-49A4-B578-69C0408197B3},-93.40491115,37.09145393,EPSG:4326,15N 464015.711E 4105094.414N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar042111,3,C,2005-03-04,21:11:00,6.8,70.8,0,-9999,No rain,21:41:00,8.8,64,0,-9999,No rain,44,15,None present,None present,0.74,19,2005,6,Left,228,90,-9999,1,Riparian Grassland,NA,2005-03-04,21:38:10,{6EE3CC4C-FD6D-49B0-85E8-293C9763E94B},-93.40525151,37.09137787,EPSG:4326,15N 463985.425E 4105086.107N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,20,2005,10,Right,46,90,-9999,2,Riparian Grassland,NA,2005-03-02,20:03:20,{7733D6CE-75EC-404E-893E-15E9B06924FF},-93.4038399,37.09193794,EPSG:4326,15N 464111.142E 4105147.703N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,21,2005,11,Left,108,90,-9999,2,Grassland/Prairie,NA,2005-03-02,20:05:13,{C4D8D574-64F3-4F42-BA93-174B6AB1548F},-93.40537302,37.09136682,EPSG:4326,15N 463974.623E 4105084.926N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,22,2005,12,Right,25,90,-9999,4,Grassland/Prairie,NA,2005-03-02,20:07:31,{0B9735D4-3268-4C2D-9052-36F399F81A26},-93.4059428,37.09137931,EPSG:4326,15N 463923.992E 4105086.527N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,23,2005,13,Right,57,90,-9999,9,Grassland/Prairie,NA,2005-03-02,20:09:27,{8AB72F0E-63F8-45AD-8942-EAC58D7A348D},-93.40731532,37.09238061,EPSG:4326,15N 463802.493E 4105198.129N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,24,2005,14,Left,47,90,-9999,5,Grassland/Prairie,NA,2005-03-02,20:10:35,{FDE96A1A-B0E3-4DAF-9451-E0BA46142AAC},-93.40758274,37.09312103,EPSG:4326,15N 463779.08E 4105280.371N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,25,2005,15,Right,20,90,-9999,3,Grassland/Prairie,NA,2005-03-02,20:11:29,{3C8E2927-9F8D-4BAB-ABDF-BE52027CD512},-93.40758615,37.09312643,EPSG:4326,15N 463778.778E 4105280.971N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,26,2005,16,Left,75,90,-9999,2,Riparian Forest,NA,2005-03-02,20:15:27,{6B19A2B0-59A9-4410-8D0E-9E6CC883D6B7},-93.41161538,37.09786708,EPSG:4326,15N 463422.989E 4105808.424N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar041911,3,A,2005-03-04,19:11:00,11.7,54.6,0,-9999,No rain,20:07:00,8.6,64.7,0,-9999,No rain,44,43,None present,None present,0.74,27,2005,7,Right,33,90,-9999,2,Grassland/Prairie,NA,2005-03-04,19:39:06,{98C24202-A347-45D1-92AA-8D0AFF45F374},-93.40360797,37.0942447,EPSG:4326,15N 464132.839E 4105403.518N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar041911,3,A,2005-03-04,19:11:00,11.7,54.6,0,-9999,No rain,20:07:00,8.6,64.7,0,-9999,No rain,44,43,None present,None present,0.74,28,2005,8,Left,147,90,-9999,3,Riparian Grassland,NA,2005-03-04,19:42:37,{7A242846-D800-4923-92C4-28CE4ACF5E52},-93.40490791,37.09145849,EPSG:4326,15N 464016.001E 4105094.918N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar041911,3,A,2005-03-04,19:11:00,11.7,54.6,0,-9999,No rain,20:07:00,8.6,64.7,0,-9999,No rain,44,43,None present,None present,0.74,29,2005,9,Left,115,90,-9999,1,Grassland/Prairie,NA,2005-03-04,19:46:46,{8AD560CF-6BB8-41F5-AF25-03B60F4C2F30},-93.40723188,37.09221467,EPSG:4326,15N 463809.829E 4105179.69N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar041911,3,A,2005-03-04,19:11:00,11.7,54.6,0,-9999,No rain,20:07:00,8.6,64.7,0,-9999,No rain,44,43,None present,None present,0.74,30,2005,10,Left,85,90,-9999,2,Grassland/Prairie,NA,2005-03-04,19:50:15,{51B4AB87-AACB-4839-B83E-6A1B0E189F78},-93.40778197,37.09392156,EPSG:4326,15N 463761.756E 4105369.255N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar041911,3,A,2005-03-04,19:11:00,11.7,54.6,0,-9999,No rain,20:07:00,8.6,64.7,0,-9999,No rain,44,43,None present,None present,0.74,31,2005,11,Left,261,90,-9999,3,Grassland/Prairie,NA,2005-03-04,19:51:24,{A6EC234B-F576-435A-86B7-B41CDE639DF5},-93.40777728,37.09392001,EPSG:4326,15N 463762.172E 4105369.081N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar041911,3,A,2005-03-04,19:11:00,11.7,54.6,0,-9999,No rain,20:07:00,8.6,64.7,0,-9999,No rain,44,43,None present,None present,0.74,32,2005,12,Left,69,90,-9999,3,Grassland/Prairie,NA,2005-03-04,19:54:05,{AECC24E2-84B3-44FA-9E4D-825071E88B8F},-93.4100322,37.09583922,EPSG:4326,15N 463562.702E 4105582.852N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar041911,3,A,2005-03-04,19:11:00,11.7,54.6,0,-9999,No rain,20:07:00,8.6,64.7,0,-9999,No rain,44,43,None present,None present,0.74,33,2005,13,Left,25,90,-9999,5,Grassland/Prairie,NA,2005-03-04,19:55:48,{C280B0BE-07A1-484B-A3B7-4691C64E8565},-93.41075952,37.09587376,EPSG:4326,15N 463498.086E 4105586.962N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar041911,3,A,2005-03-04,19:11:00,11.7,54.6,0,-9999,No rain,20:07:00,8.6,64.7,0,-9999,No rain,44,43,None present,None present,0.74,34,2005,14,Right,131,90,-9999,1,Grassland/Prairie,NA,2005-03-04,19:58:16,{C3E90E3F-1623-49E0-9DF6-1A03A8B29932},-93.41150842,37.09770461,EPSG:4326,15N 463432.415E 4105790.359N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,35,2005,1,Right,38,90,-9999,3,Grassland/Prairie,NA,2005-03-03,19:14:40,{112DBE1E-A8C8-417E-B723-7079E13C71AB},-93.40477639,37.11566781,EPSG:4326,15N 464039.136E 4107780.552N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,36,2005,2,Left,37,90,-9999,3,Grassland/Prairie,NA,2005-03-03,19:18:41,{494A79FA-B22F-4892-A3FA-3CBA59351C62},-93.40123756,37.11177803,EPSG:4326,15N 464351.707E 4107347.702N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,37,2005,3,Right,30,90,-9999,1,Grassland/Prairie,NA,2005-03-03,19:27:13,{542F72AC-E277-4377-9FB3-87A75A685A68},-93.4043385,37.09924608,EPSG:4326,15N 464070.28E 4105958.625N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,38,2005,4,Right,67,90,-9999,3,Grassland/Prairie,NA,2005-03-03,19:28:44,{6FC41D38-88A9-4504-8C74-6C4624190445},-93.40427666,37.09884533,EPSG:4326,15N 464075.588E 4105914.146N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,39,2005,5,Right,90,90,-9999,3,Riparian Grassland,NA,2005-03-03,19:32:31,{B55A4B90-CFED-407D-9163-DBBBE3B1944D},-93.4035272,37.0937455,EPSG:4326,15N 464139.781E 4105348.108N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,40,2005,6,Right,33,90,-9999,3,Riparian Grassland,NA,2005-03-03,19:34:23,{84877A4B-4AAF-4C4A-A211-93364B39A685},-93.4034373,37.09242879,EPSG:4326,15N 464147.151E 4105202.004N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,41,2005,7,Left,112,90,-9999,1,Grassland/Prairie,NA,2005-03-03,19:36:50,{528C662D-9D00-45A5-8F2D-1730DDB18793},-93.40543405,37.09135619,EPSG:4326,15N 463969.194E 4105083.77N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,42,2005,8,Right,35,90,-9999,8,Grassland/Prairie,NA,2005-03-03,19:38:05,{CA5AF05C-6AF9-4341-9DF8-22024F454B53},-93.40588388,37.09136834,EPSG:4326,15N 463929.223E 4105085.289N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar031909,2,A,2005-03-03,19:09:00,10.3,51.5,0,-9999,No rain,19:52:00,10.7,60.3,0,-9999,No rain,56,32, 95 - 100, 95 - 100,0.74,43,2005,9,Right,132,90,-9999,7,Grassland/Prairie,NA,2005-03-03,19:43:46,{E80D499E-EE1F-4CFB-8E7B-2D67E994998D},-93.41148794,37.09769737,EPSG:4326,15N 463434.231E 4105789.548N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar032009,2,B,2005-03-03,20:09:00,10.6,58.1,0,-9999,No rain,20:47:00,9.9,83.1,0.3,-9999,Heavy rain difficult to hear,56,34, 95 - 100, 95 - 100,0.74,44,2005,1,Right,25,90,-9999,3,Grassland/Prairie,NA,2005-03-03,20:19:23,{419626A7-E6C2-4D91-9ED9-F87F15804D9D},-93.39911455,37.10744577,EPSG:4326,15N 464538.308E 4106866.303N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar032009,2,B,2005-03-03,20:09:00,10.6,58.1,0,-9999,No rain,20:47:00,9.9,83.1,0.3,-9999,Heavy rain difficult to hear,56,34, 95 - 100, 95 - 100,0.74,45,2005,2,Front,0,90,-9999,2,Grassland/Prairie,On road,2005-03-03,20:24:45,{003D0751-ACFD-4519-99AE-6C9050049DC4},-93.40439313,37.10030574,EPSG:4326,15N 464065.927E 4106076.202N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar032009,2,B,2005-03-03,20:09:00,10.6,58.1,0,-9999,No rain,20:47:00,9.9,83.1,0.3,-9999,Heavy rain difficult to hear,56,34, 95 - 100, 95 - 100,0.74,46,2005,3,Right,33,90,-9999,7,Grassland/Prairie,NA,2005-03-03,20:27:20,{85B29474-0E63-4EFA-A1EE-C23E463DF2C5},-93.40421766,37.09839083,EPSG:4326,15N 464080.614E 4105863.702N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar032009,2,B,2005-03-03,20:09:00,10.6,58.1,0,-9999,No rain,20:47:00,9.9,83.1,0.3,-9999,Heavy rain difficult to hear,56,34, 95 - 100, 95 - 100,0.74,47,2005,4,Right,32,90,-9999,3,Riparian Grassland,NA,2005-03-03,20:32:41,{C770C6BD-0077-4BA8-9697-E5F31D1B0881},-93.4036012,37.09217746,EPSG:4326,15N 464132.465E 4105174.184N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
