EventID,PeriodID,ParkCode,Route,SurveyNumber,Round,DeerDate,StartTime,BeginningTemperatureInCelsius,BeginningHumidityInPercent,BeginningWindInMetersPerSecond,BeginningWindDirectionInDegrees,BeginningPrecipitation,EndTime,EndingTemperatureInCelsius,EndingHumidityInPercent,EndingWindInMetersPerSecond,EndingWindDirectionInDegrees,EndingPrecipitation,MoonIlluminationInPercent,DeerTotal,BeginningCloudCoverInPercent,EndingCloudCoverInPercent,FieldNotes,dwcType,BasisofRecord,ScientificName,TaxonRank
ARPODeerSV2008Jan281831,ARPODeerSV2008Jan07,ARPO,Tour Road,3,A,2008-01-28,18:31:00,12.6,59.5,3.7,358,No rain,19:10:00,12.8,65.5,6.1,10,No rain,58,37, 75 - 95, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Jan281931,ARPODeerSV2008Jan07,ARPO,Tour Road,3,B,2008-01-28,19:31:00,12.8,65.5,6.1,10,No rain,20:11:00,13,69.7,7,6,No rain,58,34, 75 - 95, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Jan282031,ARPODeerSV2008Jan07,ARPO,Tour Road,3,C,2008-01-28,20:31:00,13,69.7,7,6,No rain,21:01:00,14,69.6,7.3,6,No rain,58,28, 75 - 95, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Feb021838,ARPODeerSV2009Jan05,ARPO,Tour Road,4,A,2009-02-02,18:38:00,5.7,54.3,0.5,175,No rain,19:10:00,1.9,88.1,0,-9999,No rain,53,21, 25 - 50, 50 - 75,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Feb021938,ARPODeerSV2009Jan05,ARPO,Tour Road,4,B,2009-02-02,19:38:00,1.9,88.1,0,-9999,No rain,19:58:00,2.4,84.7,0,-9999,No rain,53,3, 50 - 75, 25 - 50,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Feb022038,ARPODeerSV2009Jan05,ARPO,Tour Road,4,C,2009-02-02,20:38:00,2.4,84.7,0,-9999,No rain,21:04:00,2.1,94.2,0,-9999,No rain,53,12, 25 - 50, 25 - 50,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Feb091845,ARPODeerSV2009Jan05,ARPO,Tour Road,5,A,2009-02-09,18:45:00,22.4,48.7,3.3,359,No rain,19:12:00,20.6,59.4,2.6,134,No rain,99,18, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Feb091945,ARPODeerSV2009Jan05,ARPO,Tour Road,5,B,2009-02-09,19:45:00,20.3,60.6,2.3,134,No rain,20:19:00,20.1,53.8,5.7,134,No rain,99,23, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Feb092045,ARPODeerSV2009Jan05,ARPO,Tour Road,5,C,2009-02-09,20:45:00,20.1,53.8,5.7,134,No rain,21:16:00,20.1,53.8,5.7,134,Light drizzle,99,21, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan051812,ARPODeerSV2009Jan05,ARPO,Tour Road,1,A,2009-01-05,18:12:00,1.9,52.9,1.1,223,Light rain,18:45:00,1.9,62.5,1.3,165,Light rain,69,10, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan051912,ARPODeerSV2009Jan05,ARPO,Tour Road,1,B,2009-01-05,19:12:00,1.8,71.8,1.6,181,Light drizzle,19:55:00,1.9,56.7,1,190,Light rain,69,14, 95 - 100, 95 - 100,Mixed snow on starting precip,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan052012,ARPODeerSV2009Jan05,ARPO,Tour Road,1,C,2009-01-05,20:12:00,1.9,61.4,0.17,230,Light rain,20:40:00,1.9,56.7,1.4,211,Mist or fog,69,11, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan121818,ARPODeerSV2009Jan05,ARPO,Tour Road,2,A,2009-01-12,18:18:00,10.1,46.6,3,358,No rain,18:38:00,9.9,42.1,1.6,20,No rain,93,5, 1 - 5,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan121918,ARPODeerSV2009Jan05,ARPO,Tour Road,2,B,2009-01-12,19:18:00,9.3,57.1,2,9,No rain,19:37:00,10.2,45.7,1.5,20,No rain,93,4,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan122018,ARPODeerSV2009Jan05,ARPO,Tour Road,2,C,2009-01-12,20:18:00,8.8,60.4,4.7,7,No rain,20:35:00,8.5,50.8,1.7,44,No rain,93,2, 25 - 50, 25 - 50,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan201825,ARPODeerSV2009Jan05,ARPO,Tour Road,3,A,2009-01-20,18:25:00,2.6,50,0.5,335,No rain,18:55:00,2.6,50,0.5,335,No rain,21,7,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan201925,ARPODeerSV2009Jan05,ARPO,Tour Road,3,B,2009-01-20,19:25:00,0.6,66.1,0,-9999,No rain,19:39:00,-1.5,79,0,-9999,No rain,21,0, 1 - 5, 5 - 25,No deer,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2009Jan202025,ARPODeerSV2009Jan05,ARPO,Tour Road,3,C,2009-01-20,20:25:00,-1.1,80.9,0,-9999,No rain,20:41:00,-1.1,80.9,0,-9999,No rain,21,1, 1 - 5,Trace - 1,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Feb011838,ARPODeerSV2010Jan11,ARPO,Tour Road,4,A,2010-02-01,18:38:00,5,58.6,1,336,No rain,19:10:00,3.8,78.4,0.7,340,No rain,86,28, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Feb011937,ARPODeerSV2010Jan11,ARPO,Tour Road,4,B,2010-02-01,19:37:00,3.8,78.4,0.7,340,No rain,20:16:00,2.2,88,0.6,341,No rain,86,27, 95 - 100, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Feb012037,ARPODeerSV2010Jan11,ARPO,Tour Road,4,C,2010-02-01,20:37:00,2.2,88,0.6,341,No rain,21:13:00,2.1,96,0.5,341,No rain,86,24, 5 - 25, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan111816,ARPODeerSV2010Jan11,ARPO,Tour Road,1,A,2010-01-11,18:16:00,6.4,39.6,0.7,89,No rain,18:54:00,2.9,70.8,0,-9999,No rain,8,39, 5 - 25,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan111916,ARPODeerSV2010Jan11,ARPO,Tour Road,1,B,2010-01-11,19:16:00,2.9,70.8,0,-9999,No rain,19:48:00,0.8,86.7,1.8,198,No rain,8,18,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan112016,ARPODeerSV2010Jan11,ARPO,Tour Road,1,C,2010-01-11,20:16:00,0.8,86.7,1.8,198,No rain,20:46:00,-0.4,91.2,0.4,330,No rain,8,19,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan191824,ARPODeerSV2010Jan11,ARPO,Tour Road,2,A,2010-01-19,18:24:00,17.5,68.4,1.1,60,No rain,19:10:00,15.5,83.6,1.4,0,No rain,20,58, 75 - 95, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan191924,ARPODeerSV2010Jan11,ARPO,Tour Road,2,B,2010-01-19,19:24:00,15.5,83.6,1.4,0,No rain,20:10:00,14.3,90.7,1.4,320,No rain,20,48, 75 - 95, 50 - 75,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan192024,ARPODeerSV2010Jan11,ARPO,Tour Road,2,C,2010-01-19,20:24:00,14.3,90.7,1.4,320,No rain,21:03:00,14.6,97.1,2.5,347,No rain,20,57, 50 - 75, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan251830,ARPODeerSV2010Jan11,ARPO,Tour Road,3,A,2010-01-25,18:30:00,8.3,47.4,2.3,114,No rain,19:05:00,8.4,59.1,2.2,148,No rain,78,34, 75 - 95, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan251930,ARPODeerSV2010Jan11,ARPO,Tour Road,3,B,2010-01-25,19:30:00,8.4,59.1,2.2,148,No rain,20:02:00,6.5,75.9,1,145,No rain,78,28, 5 - 25,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2010Jan252030,ARPODeerSV2010Jan11,ARPO,Tour Road,3,C,2010-01-25,20:30:00,6.5,75.9,1,145,No rain,21:00:00,7,64.3,1.8,168,No rain,78,23,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Feb071842,ARPODeerSV2011Jan03,ARPO,Tour Road,5,A,2011-02-07,18:42:00,5.2,67.1,0.6,152,No rain,19:10:00,3,80.6,1.9,152,No rain,15,10, 75 - 95, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Feb071942,ARPODeerSV2011Jan03,ARPO,Tour Road,5,B,2011-02-07,19:42:00,3,80.6,1.9,152,No rain,20:13:00,0.3,88.4,1.2,152,No rain,15,17, 5 - 25, 25 - 50,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Feb072042,ARPODeerSV2011Jan03,ARPO,Tour Road,5,C,2011-02-07,20:42:00,0.3,88.4,1.2,152,No rain,21:07:00,0.9,95,0,-9999,No rain,15,9, 25 - 50, 25 - 50,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan031809,ARPODeerSV2011Jan03,ARPO,Tour Road,1,A,2011-01-03,18:09:00,9.2,40.7,0.8,30,No rain,19:06:00,4.1,60.9,0,-9999,No rain,1,45, 5 - 25, 1 - 5,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan031913,ARPODeerSV2011Jan03,ARPO,Tour Road,1,B,2011-01-03,19:13:00,4.1,60.9,0,-9999,No rain,19:50:00,5.5,69.2,0.7,15,No rain,1,40, 1 - 5, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan032009,ARPODeerSV2011Jan03,ARPO,Tour Road,1,C,2011-01-03,20:09:00,5.5,69.2,0.7,15,No rain,20:38:00,5.2,64.1,0.7,5,No rain,1,23, 5 - 25, 25 - 50,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan121816,ARPODeerSV2011Jan03,ARPO,Tour Road,2,A,2011-01-12,18:16:00,-2,30.8,1.5,128,No rain,18:57:00,-4.4,81.1,0.4,96,No rain,48,21,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan121916,ARPODeerSV2011Jan03,ARPO,Tour Road,2,B,2011-01-12,19:16:00,-4.4,81.1,0.4,96,No rain,19:49:00,-6.5,83.2,0,-9999,No rain,48,19,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan122016,ARPODeerSV2011Jan03,ARPO,Tour Road,2,C,2011-01-12,20:16:00,-6.5,81.1,0,-9999,No rain,20:38:00,-6.9,86.4,0,-9999,No rain,48,17,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan181822,ARPODeerSV2011Jan03,ARPO,Tour Road,3,A,2011-01-18,18:22:00,9.8,71.5,3.1,134,No rain,18:59:00,8.8,79.9,4.1,134,No rain,96,31, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan181922,ARPODeerSV2011Jan03,ARPO,Tour Road,3,B,2011-01-18,19:22:00,8.8,79.9,4.1,134,No rain,19:50:00,8.5,83.4,2.5,173,No rain,96,19, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan182022,ARPODeerSV2011Jan03,ARPO,Tour Road,3,C,2011-01-18,20:22:00,8.5,83.4,2.5,173,No rain,20:51:00,7.7,86.8,1.8,156,No rain,96,21, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan241828,ARPODeerSV2011Jan03,ARPO,Tour Road,4,A,2011-01-24,18:28:00,6.8,63.4,1.9,180,No rain,19:08:00,5.8,85.4,1.6,180,No rain,75,32, 25 - 50, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan241928,ARPODeerSV2011Jan03,ARPO,Tour Road,4,B,2011-01-24,19:28:00,5.8,85.4,1.6,180,No rain,20:07:00,6.6,88.8,0,-9999,No rain,75,34, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2011Jan242028,ARPODeerSV2011Jan03,ARPO,Tour Road,4,C,2011-01-24,20:28:00,6.6,88.8,0,-9999,No rain,21:04:00,7.3,84.4,1,180,No rain,75,30, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Feb061840,ARPODeerSV2012Jan03,ARPO,Tour Road,6,A,2012-02-06,18:40:00,8.2,78,0,-9999,No rain,19:02:00,7.2,88.1,0,-9999,No rain,99,15, 5 - 25, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Feb061940,ARPODeerSV2012Jan03,ARPO,Tour Road,6,B,2012-02-06,19:40:00,6.3,94.4,0,-9999,No rain,20:02:00,5.2,94.3,0,-9999,No rain,99,10, 5 - 25, 25 - 50,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Feb062004,ARPODeerSV2012Jan03,ARPO,Tour Road,6,C,2012-02-06,20:04:00,4.6,95.3,0,-9999,No rain,21:01:00,4.4,94.1,0,-9999,No rain,99,10, 25 - 50, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan031808,ARPODeerSV2012Jan03,ARPO,Tour Road,1,A,2012-01-03,18:08:00,4.2,32,2.2,0,No rain,18:45:00,3.4,44.1,1.8,0,No rain,77,29,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan031908,ARPODeerSV2012Jan03,ARPO,Tour Road,1,B,2012-01-03,19:08:00,3.4,44.1,1.8,0,No rain,19:46:00,4.4,45.6,1,0,No rain,77,32,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan032008,ARPODeerSV2012Jan03,ARPO,Tour Road,1,C,2012-01-03,20:08:00,4.4,45.6,1,0,No rain,20:40:00,2.4,60.6,2,0,No rain,77,25,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan091813,ARPODeerSV2012Jan03,ARPO,Tour Road,2,A,2012-01-09,18:13:00,9.6,77.9,3,203,No rain,18:53:00,9.6,82.7,2.4,203,No rain,99,48, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan091913,ARPODeerSV2012Jan03,ARPO,Tour Road,2,B,2012-01-09,19:13:00,9.6,82.7,2.4,203,No rain,19:56:00,9.7,81.2,3.4,203,No rain,99,36, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan092013,ARPODeerSV2012Jan03,ARPO,Tour Road,2,C,2012-01-09,20:13:00,9.7,81.2,3.4,203,Light drizzle,20:50:00,9.6,85.1,3,203,No rain,99,40, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan171821,ARPODeerSV2012Jan03,ARPO,Tour Road,3,A,2012-01-17,18:21:00,10.5,53.6,6.1,170,No rain,18:47:00,9.2,55.6,5.6,170,No rain,28,40,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan171921,ARPODeerSV2012Jan03,ARPO,Tour Road,3,B,2012-01-17,19:21:00,9.2,55.6,5.6,170,No rain,19:53:00,7.3,67,4.7,170,No rain,28,42,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan172021,ARPODeerSV2012Jan03,ARPO,Tour Road,3,C,2012-01-17,20:21:00,7.3,67,4.7,170,No rain,20:53:00,7,60.3,5.6,170,No rain,28,38,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan231827,ARPODeerSV2012Jan03,ARPO,Tour Road,4,A,2012-01-23,18:27:00,7.8,76.6,0,-9999,No rain,18:53:00,6.6,88.2,0,-9999,No rain,1,14,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2012Jan231927,ARPODeerSV2012Jan03,ARPO,Tour Road,4,B,2012-01-23,19:27:00,6.6,88.2,0,-9999,No rain,19:53:00,3.8,95.4,0,-9999,No rain,1,9,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
