ParkName,ParkCode,PeriodID,Season,SamplingPeriods_StartDate,SamplingPeriods_EndDate,EventID,SamplingEvents_StartDate,SamplingEvents_EndDate,EventComments,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019Jun12,6/12/2019,6/13/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019Jun06,6/6/2019,6/6/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019Jun18,6/18/2019,6/18/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2021May17,2021,5/17/2021,6/16/2021,BUFFRMFISH2021Jun16,6/16/2021,6/16/2021,Water high previous 2 weeks but clear and normal levels on day of sampling,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2021May17,2021,5/17/2021,6/16/2021,BUFFRMFISH2021May17,5/17/2021,5/17/2021,Water clear and at normal levels,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2021May17,2021,5/17/2021,6/16/2021,BUFFRMFISH2021May18,5/18/2021,5/18/2021,water ~6 inches higher than in past years. water slightly turbid. Could see ~2 - 2.5 feet into water.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2021May17,2021,5/17/2021,6/16/2021,BUFFRMFISH2021May24,5/24/2021,5/24/2021,Water up ~ 6 inches from normal but water clear. River flooded and backed up into the creek the previous week.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2021May17,2021,5/17/2021,6/16/2021,BUFFRMFISH2021Jun10,6/10/2021,6/10/2021,Not many fish seen,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2021May17,2021,5/17/2021,6/16/2021,BUFFRMFISH2021Jun09,6/9/2021,6/9/2021,Water a little cloudy but normal levels; During sampling low water crossing was regraded causing additional turbidity.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2021May17,2021,5/17/2021,6/16/2021,BUFFRMFISH2021Jun11,6/11/2021,6/11/2021,Trib was flooded two weeks previously,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2023May23,2023,5/23/2023,6/14/2023,BUFFRMFISH2023May23,5/23/2023,5/23/2023,Mill Creek - stream wide and shallow. lots of deposition at mouth of creek,Event,HumanObservation
George Washington Carver National Monument,GWCA,GWCAStfish2022May02,2022,5/2/2022,5/9/2022,GWCAStfish2022May03,5/3/2022,5/3/2022,Rained on previous day ~0.75 inches,Event,HumanObservation
George Washington Carver National Monument,GWCA,GWCAStfish2022May02,2022,5/2/2022,5/9/2022,GWCAStfish2022May09,5/9/2022,5/9/2022,Rained heavily on previous Wed (5/4) and Thurs (5/5) ~1.25 inches,Event,HumanObservation
Herbert Hoover National Historic Site,HEHO,HEHOStfish2021Jul26,2021,7/26/2021,7/28/2021,HEHOStfish2021Jul26,7/26/2021,7/28/2021,Section of stream with rock riffle structures and bank stabilization. Backpack EF overloading - may have missed fish early in sampling of site. Sample conducted by Hae Kim & Grant Schmitz - MSU staff,Event,HumanObservation
Herbert Hoover National Historic Site,HEHO,HEHOStfish2022Jul05,2022,7/5/2022,7/6/2022,HEHOStfish2022Jul05,7/5/2022,7/6/2022,"Long-term monitoring site 2 years post stream remediation (rock riffles).  Reach sampled 17.4 m longer than reach measured during habitat. Upper ""control"" reach also sampled and data in special proj.",Event,HumanObservation
Herbert Hoover National Historic Site,HEHO,HEHOStfish2023Jul17,2023,7/17/2023,7/18/2023,HEHOStfish2023Jul17,7/17/2023,7/18/2023,Habitat collected on 7/17/23. Fish collected on 7/18/2023,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2008Oct06,2008,10/6/2008,10/30/2008,OZARRMFish2008Oct09,10/9/2008,10/9/2008,Large amount of deposited sand and gravel from flooding in spring and again in Sept.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2008Oct06,2008,10/6/2008,10/30/2008,OZARRMFish2008Oct08,10/8/2008,10/8/2008,Lots of deposited gravel/sand in reach due to floods in Sept.  Portions of bluff pool filled in with gravel.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2008Oct06,2008,10/6/2008,10/30/2008,OZARRMFish2008Oct07,10/7/2008,10/7/2008,Rained previous night-water clear.  Deposited gravel and sand along reach due to flooding in Sept.  Gravel/sand soft in places.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2009Oct05,2009,10/5/2009,10/22/2009,OZARRMFish2009Oct20,10/20/2009,10/21/2009,Water up about 1 ft to 1.5 ft. Riffle at lower end of reach was a run.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2009Oct05,2009,10/5/2009,10/22/2009,OZARRMFish2009Oct21,10/21/2009,10/21/2009,Water levels up about a foot from previous years. Not much riffle habitat to sample.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2009Oct05,2009,10/5/2009,10/22/2009,OZARRMFish2009Oct19,10/19/2009,10/20/2009,Current was sift - difficult to catch sculpins and darters from boat.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2009Oct05,2009,10/5/2009,10/22/2009,OZARRMFish2009Oct16,10/16/2009,10/16/2009,Reach Description: Thompson Creek-Reach ends ~ 30m upstream of road crossing.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2009Oct05,2009,10/5/2009,10/22/2009,OZARRMFish2009Oct14,10/14/2009,10/14/2009,Water up about 1/2 foot from previous years. Rained previous Friday (10/9/09) - Jacks Fork came up ~ 4 feet at Hwy 17 bridge,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2009Oct05,2009,10/5/2009,10/22/2009,OZARRMFish2009Oct06,10/6/2009,10/6/2009,Some problems with tow barge unit. Seemed to shock fish but had to be within close range. Took some time to draw fish out of cover.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2009Oct05,2009,10/5/2009,10/22/2009,OZARRMFish2009Oct05,10/5/2009,10/5/2009,Log jam in reach - some fish excaped due to large amounts of woody debris.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2009Oct05,2009,10/5/2009,10/22/2009,OZARRMFish2009Oct13,10/13/2009,10/13/2009,Shawnee Creek - Reach starts upstream of horse crossing.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2010Oct05,2010,10/5/2010,10/6/2010,OZARRMFish2010Oct06,10/6/2010,10/6/2010,Pairie Hollow -Much of reach was pooled or with small trickle between pools. Blair Cr - side channel runs about 45m on river right,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2010Oct05,2010,10/5/2010,10/6/2010,OZARRMFish2010Oct05,10/5/2010,10/5/2010,No ending measurements taken for Core 5.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2022Aug29,2022,8/29/2022,9/22/2022,OZARRMFISH2022Sep07,9/7/2022,9/7/2022,Only took 10 habitat transects at JACKM03. Transect 10 was at the new upper boundary flag.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2022Aug29,2022,8/29/2022,9/22/2022,OZARRMFISH2022Sep08,9/8/2022,9/8/2022,Awesome Day.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2022Aug29,2022,8/29/2022,9/22/2022,OZARRMFISH2022Sep02,9/2/2022,9/2/2022,Not a lot of fish in the open flat areas of the stream of Rocky Creek (CURRT08).,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2022Aug29,2022,8/29/2022,9/22/2022,OZARRMFISH2022Sep01,9/1/2022,9/1/2022,super fantastic day.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2022Aug29,2022,8/29/2022,9/22/2022,OZARRMFISH2022Aug31,8/31/2022,8/31/2022,Did not take Ending measurement readings for Core 5 at JACKM01.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2022Aug29,2022,8/29/2022,9/22/2022,OZARRMFISH2022Aug30,8/30/2022,8/30/2022,Water up 1 foot and turbid due to rain. Visability ~10 inches at CURRM02,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2022Aug29,2022,8/29/2022,9/22/2022,OZARRMFISH2022Aug29,8/29/2022,8/29/2022,Water levels lower than normal. Only sampled 10 transects at CURRM01. Transect 10 was 16 m short of upper boundary,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZARRMFISH2022Aug29,2022,8/29/2022,9/22/2022,OZARRMFISH2022Sep09,9/9/2022,9/14/2022,Side channel is filling in with water willow - very shallow and narrow- sampled with backpack shocker,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZRSSPRNGS2009Aug25,2009,8/25/2009,8/25/2009,OZRSSPRNGS2009Aug25,8/25/2009,8/25/2009,This was the last event for the 2009 season.  Alley Spring only rescheduled from flood event of late July 09,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZRSSprngs2020Jul29,2020,7/29/2020,8/3/2020,OZRSSprngs2020Aug03,8/3/2020,8/3/2020,Veg & some Habitat sampled at Big spring as an extra sample. No fish collected.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZRSSprngs2020Jul29,2020,7/29/2020,8/3/2020,OZRSSprngs2020Jul29,7/29/2020,8/3/2020,Veg Habitat & Inverts for Blue completed on 7/29/20; Inverts for Round sampled on 7/29/20 but Veg Habitat sampled on 8/3/20. No fish sampled at either spring due to COVID19,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZRSSprngs2022Jul27,2022,7/27/2022,8/3/2022,OZRSSprngs2022Aug03,8/3/2022,8/3/2022,Water normal level. Some cloudiness to the water but could see bottom.,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZRSSprngs2022Jul27,2022,7/27/2022,8/3/2022,OZRSSprngs2022Jul27,7/27/2022,7/27/2022,Water levels about average,Event,HumanObservation
Ozark National Scenic Riverways,OZAR,OZRSSprngs2023Aug01,2023,8/1/2023,8/2/2023,OZRSSprngs2023Aug01,8/1/2023,8/1/2023,Round Spring transects were spaced every 30 m instead of 24 m due to incorrect reach length in database table. Extra 60 m were sampled at Round Spring due to this error,Event,HumanObservation
Pea Ridge National Military Park,PERI,PERIStfish2021May06,2021,5/6/2021,5/6/2021,PERIStfish2021May06,5/6/2021,5/6/2021,High flow event week prior. Debris about 4 feet up on bank. Fish community seems comparable to previous years.,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner2018Sep08,2018,9/8/2018,9/8/2018,PIPEShiner2018Sep08,9/8/2018,9/8/2018,Only fish was collected by South Dakota State University. No habitat data was collected.,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner2021Aug26,2021,8/26/2021,8/26/2021,PIPEShiner2021Aug26,8/26/2021,8/26/2021,Rained night before sampled fish. Stream up about 12 inches and turbid.,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner2023Aug29,2023,8/29/2023,8/29/2023,PIPEShiner2023Aug29,8/29/2023,8/29/2023,Above the Falls - a lot of filamentous algae present; difficult to get fish our of seine and in bucket. Lower site- pools had aquatic veg in center of channel. difficult to get fish out of seine.,Event,HumanObservation
Tallgrass Prairie National Preserve,TAPR,TAPRShiner2018Sep04,2018,9/4/2018,9/7/2018,TAPRShiner2018Sep04,9/4/2018,9/4/2018,Reach 1 Middle: no fish from sites 1 & 2; Reach 1 Lower: very low water levels,Event,HumanObservation
Tallgrass Prairie National Preserve,TAPR,TAPRShiner2021Sep07,2021,9/7/2021,9/10/2021,TAPRShiner2021Sep08,9/8/2021,9/8/2021,Streams low. Rained ~5 inches 4 days prior to sampling. Suspect streams much lower 4 days previous.,Event,HumanObservation
Tallgrass Prairie National Preserve,TAPR,TAPRShiner2021Sep07,2021,9/7/2021,9/10/2021,TAPRShiner2021Sep09,9/9/2021,9/9/2021,Streams low. Rained ~5 inches 5 days prior to sampling. Suspect streams were much lower5 days previous.,Event,HumanObservation
Tallgrass Prairie National Preserve,TAPR,TAPRShiner2021Sep07,2021,9/7/2021,9/10/2021,TAPRShiner2021Sep07,9/7/2021,9/7/2021,Streams low. Rained ~5 inches 3 days prior to sampling; suspect water levels were much lower 3 days earlier.,Event,HumanObservation
Tallgrass Prairie National Preserve,TAPR,TAPRShiner2021Sep07,2021,9/7/2021,9/10/2021,TAPRShiner2021Sep10,9/10/2021,9/10/2021,Streams low. Rained ~5 inches 6 days prior to sampling these sites on 9/10/2021. Suspect streams were very low 6 days previous.,Event,HumanObservation
Tallgrass Prairie National Preserve,TAPR,TAPRShiner2022Aug16,2022,8/16/2022,8/17/2022,TAPRShiner2022Aug16,8/16/2022,8/16/2022,Water levels very low at 23 Middle site,Event,HumanObservation
Wilson's Creek National Battlefield,WICR,WICRStfish2022Jun02,2022,6/2/2022,6/16/2022,WICRStfish2022Jun14,6/14/2022,6/16/2022,Could not sample last ~20m due to deep pool,Event,HumanObservation
Wilson's Creek National Battlefield,WICR,WICRStfish2022Jun02,2022,6/2/2022,6/16/2022,WICRStfish2022Jun02,6/2/2022,6/3/2022,Rained previous day and a half; water up 5-6 inches previous day. water levels dropped ~3 inches last night and 2 inches today.,Event,HumanObservation
