ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,SiteNumber,SampleLocation,RiparianCover_0to25_Meters,RiparianCover_26to50_Meters,RiparianCover_51to75_Meters,RiparianCover_76to100_Meters,RiparianCover_GT100_Meters,StreamBankErosionCover,dwcType,dwcBasisOfRecord
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,5,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,5,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,1,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,4,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,1,Right,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,4,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,2,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,4,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,2,Right,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,4,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,3,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,4,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,4,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,4,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2001Sep11,PIPEShiner2001Sep12,main,3,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2001Sep11,PIPEShiner2001Sep12,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2001Sep11,PIPEShiner2001Sep12,main,4,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2001Sep11,PIPEShiner2001Sep12,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2001Sep11,PIPEShiner2001Sep12,main,5,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2003Sep02,PIPEShiner2003Sep04,main,1,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2003Sep02,PIPEShiner2003Sep04,main,2,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2003Sep02,PIPEShiner2003Sep04,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2003Sep02,PIPEShiner2003Sep04,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2003Sep02,PIPEShiner2003Sep04,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,1,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,2,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,2,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,3,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,4,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),2,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),2,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,5,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),2,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2004Sep16,PIPEShiner2004Sep16,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),2,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2005Sep20,PIPEShiner2005Sep20,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2005Sep20,PIPEShiner2005Sep20,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2006Aug29,PIPEShiner2006Aug30,main,1,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2006Aug29,PIPEShiner2006Aug30,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,1,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,1,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,2,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,2,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,3,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,4,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,5,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2007Aug28,PIPEShiner2007Aug28,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,1,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,1,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,2,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,2,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,3,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,4,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,5,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2008Aug26,PIPEShiner2008Aug26,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,1,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,1,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,2,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,2,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,3,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,4,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,5,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2009Aug24,PIPEShiner2009Aug25,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2010Aug31,PIPEShiner2010Aug31,main,1,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2010Aug31,PIPEShiner2010Aug31,main,2,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2010Aug31,PIPEShiner2010Aug31,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2010Aug31,PIPEShiner2010Aug31,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2010Aug31,PIPEShiner2010Aug31,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,1,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,1,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,2,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,2,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,3,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,4,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,5,Left,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
Pipestone National Monument,PIPE,PIPEShiner01above,PIPEShiner2013Sep13,PIPEShiner2013Sep13,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),0,Event,HumanObservation
