ParkName,ParkCode,LocationID,PeriodID,EventID,CloudCover_Percent,WindIntensity,PrecipitationType,PrecipitationIntensity,SH_Springs_Present,SH_StreamFlow_Description,WeatherComments,AdditionalComments,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,100,Light,None,NA,FALSE,NA,Rained previous 2-3 hours. but no rain currently.,Boat and backpack fish were combined for mainstem habitat.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,90,Light,Rain,Light,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2008May19,BUFFRMFish2008Jun03,5,Light,None,NA,FALSE,NA,NA,water was up and turbid. Hard  to see fish in deep water. Backpack shocking was limited. Site changed from previous  2 years. Riffle at lower end was against river right bank. Big gravel bar in middle,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,100,Calm,Rain,Light,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,10,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2013May20,BUFFRMFish2013Jun19,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFrmfish2015May22,BUFFrmfish2015Jun30,0,Calm,None,NA,FALSE,NA,morning fog burning off at time of measurments,turbidity a little higher than normal; water clarity about 3 ft; difficult to see fish in bluff pool,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2017May24,BUFFRMFISH2017Jun02,10,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2019May22,BUFFRMFISH2019Jun14,95,Light,None,NA,FALSE,NA,NA,Watr clarity in bluff pool a little cloudy but could see the bottom.  Due to high rain/flood events diversity & abundance low,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2023May23,BUFFRMFISH2023May25,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN02,95,Calm,None,NA,FALSE,NA,Rained the night before.,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2007May21,BUFFRMFish2007May31,50,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2008May19,BUFFRMFish2008Jun04,80,Calm,None,NA,FALSE,NA,NA,water was up about 1 ft from previous years. Barge shocking was limited to the left and right edges of riffle/run section.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2009May19,BUFFRMFish2009Jun08,75,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2010May17,BUFFRMFish2010Jun03,80,Calm,None,NA,FALSE,NA,NA,Only sampled approximately half of reach because GPS waypoint was off at upper boundary.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2013May20,BUFFRMFish2013Jun17,100,Calm,None,NA,FALSE,NA,NA,Water low; not many sculpins and darters in riffle.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFrmfish2015May22,BUFFrmfish2015Jul01,100,Calm,None,NA,FALSE,NA,NA,river up about 0.5ft from normal; riffle was difficult to sample with tow barge; sampled riffle partially with boat,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2017May24,BUFFRMFISH2017Jun15,95,Calm,None,NA,FALSE,NA,light rain prior to sampling,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2019May22,BUFFRMFISH2019Jun19,90,Light,None,NA,FALSE,NA,Rained around 7:30 am this morning,Low abundance and diversity due to rain events.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2023May23,BUFFRMFISH2023Jun01,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN12,100,Calm,None,NA,FALSE,NA,NA,no air temp taken.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2007May21,BUFFRMFish2007Jun20,100,Moderate,None,NA,FALSE,NA,heavy rain during last 15 mins of shocking,stopped shocking for ~ 20 min during last 15 min of shocking due to heavy rain. Water cleared and we continued shocking,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2008May19,BUFFRMFish2008Jun05,90,Moderate,None,NA,FALSE,NA,NA,water was up about 2 ft from previous yr. current was swift and lots of sediment shifted. Backwaters gone and 1/3 of site was shallow(<3ft deep) with small sediment,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2009May19,BUFFRMFish2009Jun09,70,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2010May17,BUFFRMFish2010Jun02,10,Light,None,NA,FALSE,NA,NA,Saw serveral hogsuckers that did not shock.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2013May20,BUFFRMFish2013Jun18,80,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2017May24,BUFFRMFISH2017Jun14,80,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2019May22,BUFFRMFISH2019Jun18,75,Calm,None,NA,FALSE,NA,Due to high rain/flood events diversity & abundance low.,Water slightly cloudy. Could see bottom.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2023May23,BUFFRMFISH2023Jun07,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN05,2,Calm,None,NA,FALSE,NA,NA,no ending air temp,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2007May21,BUFFRMFish2007Jun04,20,Moderate,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2008May19,BUFFRMFish2008Jun18,25,Calm,None,NA,FALSE,NA,NA,water higher than previous yrs. Mostly fast run habitat in 1st half of reach. Difficult to sample faster run habitat.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2009May19,BUFFRMFish2009Jun10,100,Calm,None,NA,FALSE,NA,NA,Lots of deposited gravel and sand.  Center of reach very shallow riffle.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2010May17,BUFFRMFish2010Jun09,30,Light,None,NA,FALSE,NA,NA,Two buckets of fish were thrown out before they were counted or measured - a bucket of Ozark Minnow and a bucket of Duskystripe Shiner.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2013May20,BUFFRMFish2013Jun11,0,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2017May24,BUFFRMFISH2017Jun21,40,Calm,None,NA,FALSE,NA,NA,a lot of deposited sand/gravel on river left and at downstream half of site.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2019May22,BUFFRMFISH2019Jun20,50,Moderate,None,NA,FALSE,NA,Due to high rain/flood events diversity & abundance low.,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2023May23,BUFFRMFISH2023Jun14,0,Light,None,NA,FALSE,NA,Rained ~1 hr before sampling for about 30 minutes,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT01,BUFFRMFISH2009May19,BUFFRMFish2009May19,0,Calm,None,NA,FALSE,NA,NA,Water flow above normal due to high amounts of rainfall in prior weeks. Water clear but fast in some areas.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY22,0,Calm,None,NA,FALSE,NA,NA,Actual reach measured at 63m average.  Stream is spring influenced.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT04,BUFFRMFISH2008May19,BUFFRMFish2008May21,0,Calm,None,NA,FALSE,NA,NA,only one point calibration done on PH meter,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2007May21,BUFFRMFish2007May21,30,Light,None,NA,FALSE,NA,NA,Habitat reach was 180m. fish reach was 232m,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFrmfish2015May22,BUFFrmfish2015Jun03,10,Calm,None,NA,FALSE,NA,NA,creek high 2 weeks prior to sampling; water slightly turbid; lots of periphyton covering rocks,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2019May22,BUFFRMFISH2019Jun05,5,Calm,None,NA,FALSE,NA,Due to high rain/flood events diversity and abundance low.,Old backpack ran out of battery with 15 m left in reach. used only new backpack to finish site. Creek flooded previous week before sample.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2023May23,BUFFRMFISH2023Jun02,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT06,BUFFRMFISH2009May19,BUFFRMFish2009May19,0,Light,None,NA,FALSE,NA,NA,Lots of sediment deposited--clay/silt,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT07,BUFFRMFISH2007May21,BUFFRMFish2007May25,90,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT07,BUFFRMFISH2013May20,BUFFRMFish2013May21,100,NA,Rain,Moderate,FALSE,NA,Rained off and on during sampling.,Water clear.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT07,BUFFrmfish2015May22,BUFFrmfish2015May22,10,Calm,None,NA,FALSE,NA,rained on 5/20/15 ~ 1 inch,water levels were up 1/2 foot on Wed (5/20/15) and turbid. Water levels more normal; some slight turbidity. Could not collect DO - probe error,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT07,BUFFRMFISH2017May24,BUFFRMFISH2017May24,90,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT07,BUFFRMFISH2019May22,BUFFRMFISH2019May22,70,Light,None,NA,FALSE,NA,Due to high rain/flood events diversity & abundance low,Water slightly cloudy but could see bottom.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT07,BUFFRMFISH2021May17,BUFFRMFISH2021May18,85,Calm,None,NA,FALSE,NA,NA,Rained 1/2 inch in last 24 hrs,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT07,BUFFRMFISH2023May23,BUFFRMFISH2023May23,0,Calm,None,NA,FALSE,NA,NA,Stream wide and shallow. lots of deposition at mouth of creek,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT08,BUFFRMFISH2010May17,BUFFRMFish2010May17,50,Calm,None,NA,FALSE,NA,Foggy and high humidity,Rained previous two days - turbidity moderate.  Reduced visibility for netters.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT09,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,40,Calm,None,NA,FALSE,NA,NA,pH & DO meters were turned off on 2nd day before measurements were taken. 2nd day measurements were taken. but not entered into data base.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT09,BUFFrmfish2015May22,BUFFrmfish2015Jun10,2,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT09,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,0,Light,None,NA,FALSE,NA,Due to high rain/flood events diversity and abundance low.,water slightly murky/cloudy. Visability about 3 feet.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT10,BUFFRMFISH2009May19,BUFFRMFish2009May20,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT11,BUFFRMFISH2009May19,BUFFRMFish2009May20,0,Light,None,NA,FALSE,NA,sunny and warm,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT12,BUFFRMFISH2007May21,BUFFRMFish2007May29,100,Calm,None,NA,FALSE,NA,NA,stream was dry at mouth - had to move reach upstream of road crossing,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT13,BUFFRMFISH2008May19,BUFFRMFish2008May23,100,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT14,BUFFRMFISH2010May17,BUFFRMFish2010May18,10,Calm,None,NA,FALSE,NA,NA,Lots of bedrock and undercuts.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT15,BUFFRMFISH2008May19,BUFFRMFish2008May28,100,Calm,None,NA,FALSE,NA,some drizzle early in the  morning,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT15,BUFFRMFISH2012May21,BUFFRMFish2012May22,0,Calm,None,NA,FALSE,NA,sunny,water levels lower than levels sampled in 2008.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT15,BUFFRMFISH2013May20,BUFFRMFish2013May20,100,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT15,BUFFrmfish2015May22,BUFFrmfish2015May28,100,Calm,None,NA,FALSE,NA,NA,the dissolved oxygen was not calibrating properly,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT15,BUFFRMFISH2017May24,BUFFRMFISH2017May24,80,Calm,None,NA,FALSE,NA,Rained heavy Friday before sampling. (5/19/17),water clear and normal flow.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT15,BUFFRMFISH2019May22,BUFFRMFISH2019Jun06,100,Calm,Rain,Moderate,FALSE,NA,Due to high rain/flood events diversity and abundance low.,Creek was flooded week before sampling.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT15,BUFFRMFISH2021May17,BUFFRMFISH2021May17,100,Calm,Rain,Light,FALSE,NA,Rained early morning,Water clear and at normal levels,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT15,BUFFRMFISH2023May23,BUFFRMFISH2023May26,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT16,BUFFRMFISH2008May19,BUFFRMFish2008May27,100,Calm,Rain,Light,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT17,BUFFRMFISH2010May17,BUFFRMFish2010Jun23,0,Calm,None,NA,FALSE,NA,N 90 degrees F,Creek had a slight milky blue cast to it. could see about 3 feet.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT19,BUFFRMFISH2008May19,BUFFRMFish2008May19,20,Calm,None,NA,FALSE,NA,NA,only one point calibration done on PH meter,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT19,BUFFRMFISH2013May20,BUFFRMFish2013Jun06,20,Calm,None,NA,FALSE,NA,NA,Water up about 6 inches from previous week but clear; lost some fish due to plug dislodged from live well.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT19,BUFFrmfish2015May22,BUFFrmfish2015May29,60,Calm,None,NA,FALSE,NA,NA,creek was slightly turbid the day previous to sampling; creek up ~ 4 inches but clear during sampling,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT19,BUFFRMFISH2017May24,BUFFRMFISH2017May25,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT19,BUFFRMFISH2019May22,BUFFRMFISH2019May24,10,Calm,None,Light,FALSE,NA,NA,Due to high rain/flood events diversity and abundance low.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT19,BUFFRMFISH2021May17,BUFFRMFISH2021Jun09,5,Calm,None,NA,FALSE,NA,NA,Water a little cloudy but normal levels; during sampling low water crossing was regraded causing additional turbidity,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT19,BUFFRMFISH2023May23,BUFFRMFISH2023May30,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT20,BUFFRMFISH2009May19,BUFFRMFish2009May21,10,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT20,BUFFRMFISH2012May21,BUFFRMFish2012May22,90,Calm,None,NA,FALSE,NA,rain possible; rained ~0.02 inches early this morning,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT20,BUFFRMFISH2013May20,BUFFRMFish2013Jun10,0,Light,None,NA,FALSE,NA,NA,Water clear; Riffles moderately deep and fast.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT20,BUFFrmfish2015May22,BUFFrmfish2015Jun15,100,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT20,BUFFRMFISH2017May24,BUFFRMFISH2017May30,10,Calm,None,NA,FALSE,NA,rained during last 20 minutes of sampling,creek at 65 cfs. Deep pool at upper end along bluff-difficult to sample.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT20,BUFFRMFISH2019May22,BUFFRMFISH2019May28,50,Calm,None,NA,FALSE,NA,Due to high rain/flood events diversity and abundance low.,Sampled 1/2 of site previous day 5/28. but barge pulse bos quit working. Resampled entire site on 5/29.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT20,BUFFRMFISH2021May17,BUFFRMFISH2021Jun16,10,Calm,None,NA,FALSE,NA,NA,Water high previous 2 week but clear and normal levels on day of sampling,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT20,BUFFRMFISH2023May23,BUFFRMFISH2023May31,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT21,BUFFRMFISH2007May21,BUFFRMFish2007Jun01,100,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT22,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY25,0,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT23,BUFFRMFISH2009May19,BUFFRMFish2009May26,10,Light,None,NA,FALSE,NA,sunny and warm,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT23,BUFFrmfish2015May22,BUFFrmfish2015Jun04,5,Calm,None,NA,FALSE,NA,NA,electrofishing unit sugging off along bluff. but worked after moved upstream of bluff; more effort in first 3/4 of site than last 1/4 of site,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT23,BUFFRMFISH2019May22,BUFFRMFISH2019Jun17,90,Calm,None,NA,FALSE,NA,NA,Due to high rain/flood events diversity and abundance low.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT23,BUFFRMFISH2023May23,BUFFRMFISH2023Jun06,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT24,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY24,0,Calm,None,NA,FALSE,NA,NA,no air temp taken,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT25,BUFFRMFISH2007May21,BUFFRMFish2007Jun06,0,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT27,BUFFRMFISH2010May17,BUFFRMFish2010Jun08,95,Calm,None,NA,FALSE,NA,NA,Some Stonerollers not shocking - maybe due to higher conductivity.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT27,BUFFRMFISH2012May21,BUFFRMFish2012May21,80,Light,None,NA,FALSE,NA,rained on sunday may 20 ~1in,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT27,BUFFRMFISH2013May20,BUFFRMFish2013May20,100,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT27,BUFFRMFISH2017May24,BUFFRMFISH2017Jun13,40,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT27,BUFFRMFISH2021May17,BUFFRMFISH2021May24,95,Calm,None,NA,FALSE,NA,NA,Water up - 6 inches from normal but water clear.  River flooded and backed into creek previous week,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT28,BUFFRMFISH2008May19,BUFFRMFish2008Jun18,100,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT29,BUFFRMFISH2010May17,BUFFRMFish2010Jun10,95,Moderate,None,NA,FALSE,NA,Low pressure front moving over,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,100,Light,Rain,Light,FALSE,NA,NA,no water or air temp taken. Used 1 backpack shocker on site.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,100,Calm,None,NA,FALSE,NA,misting,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT30,BUFFRMFISH2021May17,BUFFRMFISH2021Jun10,30,Calm,None,NA,FALSE,NA,NA,Not many fish seen,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN06,100,Calm,None,NA,FALSE,NA,rained earlier today,air temp not taken.  Should be ~100m based on wetted width.  Used 1 backpack on site.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2013May20,BUFFRMFish2013Jun12,0,Moderate,None,NA,FALSE,NA,NA,Stream low - difficult to collect fish in shallow rocky areas; backpack kept shutting off.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBT31,BUFFRMFISH2017May24,BUFFRMFISH2017Jun22,90,Calm,None,NA,FALSE,NA,misting on and off,NA,Event,HumanObservation
