ParkUnit,Plot,SubPlot,EventDate,CanopyType,ReadingNumber,DotScore
Arkansas Post,ARPO10,1,2007-06-07,Hardwood,2,96
Arkansas Post,ARPO10,1,2007-06-07,Hardwood,3,78
Arkansas Post,ARPO10,1,2007-06-07,Hardwood,4,96
Arkansas Post,ARPO10,1,2007-06-07,Total,1,96
Arkansas Post,ARPO10,1,2007-06-07,Total,2,96
Arkansas Post,ARPO10,1,2007-06-07,Total,3,78
Arkansas Post,ARPO10,1,2007-06-07,Total,4,96
Arkansas Post,ARPO10,1,2011-06-07,Hardwood,1,82
Arkansas Post,ARPO10,1,2011-06-07,Hardwood,2,85
Arkansas Post,ARPO10,1,2011-06-07,Hardwood,3,90
Arkansas Post,ARPO10,1,2011-06-07,Hardwood,4,96
Arkansas Post,ARPO10,1,2011-06-07,Total,1,82
Arkansas Post,ARPO10,1,2011-06-07,Total,2,85
Arkansas Post,ARPO10,1,2011-06-07,Total,3,90
Arkansas Post,ARPO10,1,2011-06-07,Total,4,96
Arkansas Post,ARPO10,1,2015-05-19,Hardwood,1,96
Arkansas Post,ARPO10,1,2015-05-19,Hardwood,2,96
Arkansas Post,ARPO10,1,2015-05-19,Hardwood,3,96
Arkansas Post,ARPO10,1,2015-05-19,Hardwood,4,96
Arkansas Post,ARPO10,1,2015-05-19,Total,1,96
Arkansas Post,ARPO10,1,2015-05-19,Total,2,96
Arkansas Post,ARPO10,1,2015-05-19,Total,3,96
Arkansas Post,ARPO10,1,2015-05-19,Total,4,96
Arkansas Post,ARPO10,1,2019-05-20,Hardwood,1,75
Arkansas Post,ARPO10,1,2019-05-20,Hardwood,2,82
Arkansas Post,ARPO10,1,2019-05-20,Hardwood,3,89
Arkansas Post,ARPO10,1,2019-05-20,Hardwood,4,86
Arkansas Post,ARPO10,1,2019-05-20,Total,1,75
Arkansas Post,ARPO10,1,2019-05-20,Total,2,82
Arkansas Post,ARPO10,1,2019-05-20,Total,3,89
Arkansas Post,ARPO10,1,2019-05-20,Total,4,86
Arkansas Post,ARPO11,1,2015-05-19,Hardwood,1,4
Arkansas Post,ARPO11,1,2015-05-19,Hardwood,2,44
Arkansas Post,ARPO11,1,2015-05-19,Hardwood,3,56
Arkansas Post,ARPO11,1,2015-05-19,Hardwood,4,42
Arkansas Post,ARPO11,1,2015-05-19,Total,1,4
Arkansas Post,ARPO11,1,2015-05-19,Total,2,44
Arkansas Post,ARPO11,1,2015-05-19,Total,3,56
Arkansas Post,ARPO11,1,2015-05-19,Total,4,42
Arkansas Post,ARPO12,1,2007-06-05,Hardwood,1,96
Arkansas Post,ARPO12,1,2007-06-05,Hardwood,2,96
Arkansas Post,ARPO12,1,2007-06-05,Hardwood,3,90
Arkansas Post,ARPO12,1,2007-06-05,Hardwood,4,94
Arkansas Post,ARPO12,1,2007-06-05,Total,1,96
Arkansas Post,ARPO12,1,2007-06-05,Total,2,96
Arkansas Post,ARPO12,1,2007-06-05,Total,3,90
Arkansas Post,ARPO12,1,2007-06-05,Total,4,94
Arkansas Post,ARPO12,1,2011-06-08,Hardwood,1,90
Arkansas Post,ARPO12,1,2011-06-08,Hardwood,2,92
Arkansas Post,ARPO12,1,2011-06-08,Hardwood,3,88
Arkansas Post,ARPO12,1,2011-06-08,Hardwood,4,94
Arkansas Post,ARPO12,1,2011-06-08,Total,1,90
Arkansas Post,ARPO12,1,2011-06-08,Total,2,92
Arkansas Post,ARPO12,1,2011-06-08,Total,3,88
Arkansas Post,ARPO12,1,2011-06-08,Total,4,94
Arkansas Post,ARPO12,1,2015-05-18,Hardwood,1,95
Arkansas Post,ARPO12,1,2015-05-18,Hardwood,2,96
Arkansas Post,ARPO12,1,2015-05-18,Hardwood,3,94
Arkansas Post,ARPO12,1,2015-05-18,Hardwood,4,96
Arkansas Post,ARPO12,1,2015-05-18,Total,1,95
Arkansas Post,ARPO12,1,2015-05-18,Total,2,96
Arkansas Post,ARPO12,1,2015-05-18,Total,3,94
Arkansas Post,ARPO12,1,2015-05-18,Total,4,96
Arkansas Post,ARPO12,1,2019-05-21,Hardwood,1,88
Arkansas Post,ARPO12,1,2019-05-21,Hardwood,2,89
Arkansas Post,ARPO12,1,2019-05-21,Hardwood,3,85
Arkansas Post,ARPO12,1,2019-05-21,Hardwood,4,86
Arkansas Post,ARPO12,1,2019-05-21,Total,1,88
Arkansas Post,ARPO12,1,2019-05-21,Total,2,89
Arkansas Post,ARPO12,1,2019-05-21,Total,3,85
Arkansas Post,ARPO12,1,2019-05-21,Total,4,86
Arkansas Post,ARPO13,1,2007-06-05,Hardwood,1,92
Arkansas Post,ARPO13,1,2007-06-05,Hardwood,2,93
Arkansas Post,ARPO13,1,2007-06-05,Hardwood,3,86
Arkansas Post,ARPO13,1,2007-06-05,Hardwood,4,83
Arkansas Post,ARPO13,1,2007-06-05,Total,1,92
Arkansas Post,ARPO13,1,2007-06-05,Total,2,93
Arkansas Post,ARPO13,1,2007-06-05,Total,3,86
Arkansas Post,ARPO13,1,2007-06-05,Total,4,83
Arkansas Post,ARPO13,1,2011-06-08,Hardwood,1,96
Arkansas Post,ARPO13,1,2011-06-08,Hardwood,2,94
Arkansas Post,ARPO13,1,2011-06-08,Hardwood,3,94
Arkansas Post,ARPO13,1,2011-06-08,Hardwood,4,96
Arkansas Post,ARPO13,1,2011-06-08,Total,1,96
Arkansas Post,ARPO13,1,2011-06-08,Total,2,94
Arkansas Post,ARPO13,1,2011-06-08,Total,3,94
Arkansas Post,ARPO13,1,2011-06-08,Total,4,96
Arkansas Post,ARPO13,1,2015-05-18,Hardwood,1,95
Arkansas Post,ARPO13,1,2015-05-18,Hardwood,2,96
Arkansas Post,ARPO13,1,2015-05-18,Hardwood,3,96
Arkansas Post,ARPO13,1,2015-05-18,Hardwood,4,94
Arkansas Post,ARPO13,1,2015-05-18,Total,1,95
Arkansas Post,ARPO13,1,2015-05-18,Total,2,96
Arkansas Post,ARPO13,1,2015-05-18,Total,3,96
Arkansas Post,ARPO13,1,2015-05-18,Total,4,94
Arkansas Post,ARPO13,1,2019-05-21,Hardwood,1,83
Arkansas Post,ARPO13,1,2019-05-21,Hardwood,2,85
Arkansas Post,ARPO13,1,2019-05-21,Hardwood,3,89
Arkansas Post,ARPO13,1,2019-05-21,Hardwood,4,86
Arkansas Post,ARPO13,1,2019-05-21,Total,1,83
Arkansas Post,ARPO13,1,2019-05-21,Total,2,85
Arkansas Post,ARPO13,1,2019-05-21,Total,3,89
Arkansas Post,ARPO13,1,2019-05-21,Total,4,86
Arkansas Post,ARPO14,1,2007-06-06,Hardwood,1,96
Arkansas Post,ARPO14,1,2007-06-06,Hardwood,2,96
Arkansas Post,ARPO14,1,2007-06-06,Hardwood,3,91
Arkansas Post,ARPO14,1,2007-06-06,Hardwood,4,94
Arkansas Post,ARPO14,1,2007-06-06,Total,1,96
Arkansas Post,ARPO14,1,2007-06-06,Total,2,96
Arkansas Post,ARPO14,1,2007-06-06,Total,3,91
Arkansas Post,ARPO14,1,2007-06-06,Total,4,94
Arkansas Post,ARPO14,1,2011-06-08,Hardwood,1,90
Arkansas Post,ARPO14,1,2011-06-08,Hardwood,2,96
Arkansas Post,ARPO14,1,2011-06-08,Hardwood,3,93
Arkansas Post,ARPO14,1,2011-06-08,Hardwood,4,90
Arkansas Post,ARPO14,1,2011-06-08,Total,1,90
Arkansas Post,ARPO14,1,2011-06-08,Total,2,96
Arkansas Post,ARPO14,1,2011-06-08,Total,3,93
Arkansas Post,ARPO14,1,2011-06-08,Total,4,90
Arkansas Post,ARPO14,1,2015-05-18,Hardwood,1,86
Arkansas Post,ARPO14,1,2015-05-18,Hardwood,2,93
Arkansas Post,ARPO14,1,2015-05-18,Hardwood,3,90
Arkansas Post,ARPO14,1,2015-05-18,Hardwood,4,90
Arkansas Post,ARPO14,1,2015-05-18,Total,1,86
Arkansas Post,ARPO14,1,2015-05-18,Total,2,93
Arkansas Post,ARPO14,1,2015-05-18,Total,3,90
Arkansas Post,ARPO14,1,2015-05-18,Total,4,90
Arkansas Post,ARPO14,1,2019-05-21,Hardwood,1,74
Arkansas Post,ARPO14,1,2019-05-21,Hardwood,2,76
Arkansas Post,ARPO14,1,2019-05-21,Hardwood,3,84
Arkansas Post,ARPO14,1,2019-05-21,Hardwood,4,87
Arkansas Post,ARPO14,1,2019-05-21,Total,1,74
Arkansas Post,ARPO14,1,2019-05-21,Total,2,76
Arkansas Post,ARPO14,1,2019-05-21,Total,3,84
Arkansas Post,ARPO14,1,2019-05-21,Total,4,87
Arkansas Post,ARPO15,1,2007-06-06,Hardwood,1,79
Arkansas Post,ARPO15,1,2007-06-06,Hardwood,2,84
Arkansas Post,ARPO15,1,2007-06-06,Hardwood,3,63
Arkansas Post,ARPO15,1,2007-06-06,Hardwood,4,83
Arkansas Post,ARPO15,1,2007-06-06,Total,1,79
Arkansas Post,ARPO15,1,2007-06-06,Total,2,84
Arkansas Post,ARPO15,1,2007-06-06,Total,3,63
Arkansas Post,ARPO15,1,2007-06-06,Total,4,83
Arkansas Post,ARPO15,1,2011-06-08,Hardwood,1,96
Arkansas Post,ARPO15,1,2011-06-08,Hardwood,2,96
Arkansas Post,ARPO15,1,2011-06-08,Hardwood,3,96
Arkansas Post,ARPO15,1,2011-06-08,Hardwood,4,96
Arkansas Post,ARPO15,1,2011-06-08,Total,1,96
Arkansas Post,ARPO15,1,2011-06-08,Total,2,96
Arkansas Post,ARPO15,1,2011-06-08,Total,3,96
Arkansas Post,ARPO15,1,2011-06-08,Total,4,96
Arkansas Post,ARPO15,1,2015-05-18,Hardwood,1,93
Arkansas Post,ARPO15,1,2015-05-18,Hardwood,2,95
Arkansas Post,ARPO15,1,2015-05-18,Hardwood,3,96
Arkansas Post,ARPO15,1,2015-05-18,Hardwood,4,96
Arkansas Post,ARPO15,1,2015-05-18,Total,1,93
Arkansas Post,ARPO15,1,2015-05-18,Total,2,95
Arkansas Post,ARPO15,1,2015-05-18,Total,3,96
Arkansas Post,ARPO15,1,2015-05-18,Total,4,96
Arkansas Post,ARPO15,1,2019-05-21,Hardwood,1,87
Arkansas Post,ARPO15,1,2019-05-21,Hardwood,2,87
Arkansas Post,ARPO15,1,2019-05-21,Hardwood,3,89
Arkansas Post,ARPO15,1,2019-05-21,Hardwood,4,90
Arkansas Post,ARPO15,1,2019-05-21,Total,1,87
Arkansas Post,ARPO15,1,2019-05-21,Total,2,87
Arkansas Post,ARPO15,1,2019-05-21,Total,3,89
Arkansas Post,ARPO15,1,2019-05-21,Total,4,90
Arkansas Post,ARPO16,1,2007-06-05,Hardwood,1,96
Arkansas Post,ARPO16,1,2007-06-05,Hardwood,2,96
Arkansas Post,ARPO16,1,2007-06-05,Hardwood,3,93
Arkansas Post,ARPO16,1,2007-06-05,Hardwood,4,96
Arkansas Post,ARPO16,1,2007-06-05,Total,1,96
Arkansas Post,ARPO16,1,2007-06-05,Total,2,96
Arkansas Post,ARPO16,1,2007-06-05,Total,3,93
Arkansas Post,ARPO16,1,2007-06-05,Total,4,96
Arkansas Post,ARPO16,1,2011-06-08,Hardwood,1,96
Arkansas Post,ARPO16,1,2011-06-08,Hardwood,2,94
Arkansas Post,ARPO16,1,2011-06-08,Hardwood,3,93
Arkansas Post,ARPO16,1,2011-06-08,Hardwood,4,95
Arkansas Post,ARPO16,1,2011-06-08,Total,1,96
Arkansas Post,ARPO16,1,2011-06-08,Total,2,94
Arkansas Post,ARPO16,1,2011-06-08,Total,3,93
Arkansas Post,ARPO16,1,2011-06-08,Total,4,95
Arkansas Post,ARPO16,1,2015-05-18,Hardwood,1,90
Arkansas Post,ARPO16,1,2015-05-18,Hardwood,2,70
Arkansas Post,ARPO16,1,2015-05-18,Hardwood,3,88
Arkansas Post,ARPO16,1,2015-05-18,Hardwood,4,96
Arkansas Post,ARPO16,1,2015-05-18,Total,1,90
Arkansas Post,ARPO16,1,2015-05-18,Total,2,70
Arkansas Post,ARPO16,1,2015-05-18,Total,3,88
Arkansas Post,ARPO16,1,2015-05-18,Total,4,96
Arkansas Post,ARPO16,1,2019-05-21,Hardwood,1,89
Arkansas Post,ARPO16,1,2019-05-21,Hardwood,2,90
Arkansas Post,ARPO16,1,2019-05-21,Hardwood,3,79
Arkansas Post,ARPO16,1,2019-05-21,Hardwood,4,88
Arkansas Post,ARPO16,1,2019-05-21,Total,1,89
Arkansas Post,ARPO16,1,2019-05-21,Total,2,90
Arkansas Post,ARPO16,1,2019-05-21,Total,3,79
Arkansas Post,ARPO16,1,2019-05-21,Total,4,88
Arkansas Post,ARPO17,1,2007-06-05,Hardwood,1,96
Arkansas Post,ARPO17,1,2007-06-05,Hardwood,2,96
Arkansas Post,ARPO17,1,2007-06-05,Hardwood,3,96
Arkansas Post,ARPO17,1,2007-06-05,Hardwood,4,95
Arkansas Post,ARPO17,1,2007-06-05,Total,1,96
Arkansas Post,ARPO17,1,2007-06-05,Total,2,96
Arkansas Post,ARPO17,1,2007-06-05,Total,3,96
Arkansas Post,ARPO17,1,2007-06-05,Total,4,95
Arkansas Post,ARPO17,1,2011-06-08,Hardwood,1,94
Arkansas Post,ARPO17,1,2011-06-08,Hardwood,2,94
Arkansas Post,ARPO17,1,2011-06-08,Hardwood,3,94
Arkansas Post,ARPO17,1,2011-06-08,Hardwood,4,94
Arkansas Post,ARPO17,1,2011-06-08,Total,1,94
Arkansas Post,ARPO17,1,2011-06-08,Total,2,94
Arkansas Post,ARPO17,1,2011-06-08,Total,3,94
Arkansas Post,ARPO17,1,2011-06-08,Total,4,94
Arkansas Post,ARPO17,1,2015-05-18,Hardwood,1,92
Arkansas Post,ARPO17,1,2015-05-18,Hardwood,2,91
Arkansas Post,ARPO17,1,2015-05-18,Hardwood,3,94
Arkansas Post,ARPO17,1,2015-05-18,Hardwood,4,95
Arkansas Post,ARPO17,1,2015-05-18,Total,1,92
Arkansas Post,ARPO17,1,2015-05-18,Total,2,91
Arkansas Post,ARPO17,1,2015-05-18,Total,3,94
Arkansas Post,ARPO17,1,2015-05-18,Total,4,95
Arkansas Post,ARPO17,1,2019-05-21,Hardwood,1,87
Arkansas Post,ARPO17,1,2019-05-21,Hardwood,2,81
Arkansas Post,ARPO17,1,2019-05-21,Hardwood,3,86
Arkansas Post,ARPO17,1,2019-05-21,Hardwood,4,79
Arkansas Post,ARPO17,1,2019-05-21,Total,1,87
Arkansas Post,ARPO17,1,2019-05-21,Total,2,81
Arkansas Post,ARPO17,1,2019-05-21,Total,3,86
Arkansas Post,ARPO17,1,2019-05-21,Total,4,79
Arkansas Post,ARPO18,1,2007-06-06,Hardwood,1,78
Arkansas Post,ARPO18,1,2007-06-06,Hardwood,2,77
Arkansas Post,ARPO18,1,2007-06-06,Hardwood,3,95
Arkansas Post,ARPO18,1,2007-06-06,Hardwood,4,90
Arkansas Post,ARPO18,1,2007-06-06,Total,1,78
Arkansas Post,ARPO18,1,2007-06-06,Total,2,77
Arkansas Post,ARPO18,1,2007-06-06,Total,3,95
Arkansas Post,ARPO18,1,2007-06-06,Total,4,90
Arkansas Post,ARPO18,1,2011-06-08,Hardwood,1,96
Arkansas Post,ARPO18,1,2011-06-08,Hardwood,2,94
Arkansas Post,ARPO18,1,2011-06-08,Hardwood,3,94
Arkansas Post,ARPO18,1,2011-06-08,Hardwood,4,95
Arkansas Post,ARPO18,1,2011-06-08,Total,1,96
Arkansas Post,ARPO18,1,2011-06-08,Total,2,94
Arkansas Post,ARPO18,1,2011-06-08,Total,3,94
Arkansas Post,ARPO18,1,2011-06-08,Total,4,95
Arkansas Post,ARPO18,1,2015-05-18,Hardwood,1,94
Arkansas Post,ARPO18,1,2015-05-18,Hardwood,2,92
Arkansas Post,ARPO18,1,2015-05-18,Hardwood,3,94
Arkansas Post,ARPO18,1,2015-05-18,Hardwood,4,92
Arkansas Post,ARPO18,1,2015-05-18,Total,1,94
Arkansas Post,ARPO18,1,2015-05-18,Total,2,92
Arkansas Post,ARPO18,1,2015-05-18,Total,3,94
Arkansas Post,ARPO18,1,2015-05-18,Total,4,92
Arkansas Post,ARPO18,1,2019-05-20,Hardwood,1,88
Arkansas Post,ARPO18,1,2019-05-20,Hardwood,2,86
Arkansas Post,ARPO18,1,2019-05-20,Hardwood,3,92
Arkansas Post,ARPO18,1,2019-05-20,Hardwood,4,91
Arkansas Post,ARPO18,1,2019-05-20,Total,1,88
Arkansas Post,ARPO18,1,2019-05-20,Total,2,86
Arkansas Post,ARPO18,1,2019-05-20,Total,3,92
Arkansas Post,ARPO18,1,2019-05-20,Total,4,91
Arkansas Post,ARPO19,1,2007-06-06,Conifer,1,10
Arkansas Post,ARPO19,1,2007-06-06,Hardwood,1,84
Arkansas Post,ARPO19,1,2007-06-06,Hardwood,2,75
Arkansas Post,ARPO19,1,2007-06-06,Hardwood,3,52
Arkansas Post,ARPO19,1,2007-06-06,Hardwood,4,93
Arkansas Post,ARPO19,1,2007-06-06,Total,1,94
Arkansas Post,ARPO19,1,2007-06-06,Total,2,75
Arkansas Post,ARPO19,1,2007-06-06,Total,3,52
Arkansas Post,ARPO19,1,2007-06-06,Total,4,93
Arkansas Post,ARPO19,1,2011-06-08,Conifer,1,20
Arkansas Post,ARPO19,1,2011-06-08,Conifer,2,4
Arkansas Post,ARPO19,1,2011-06-08,Conifer,3,0
Arkansas Post,ARPO19,1,2011-06-08,Conifer,4,0
Arkansas Post,ARPO19,1,2011-06-08,Hardwood,1,96
Arkansas Post,ARPO19,1,2011-06-08,Hardwood,2,96
Arkansas Post,ARPO19,1,2011-06-08,Hardwood,3,76
Arkansas Post,ARPO19,1,2011-06-08,Hardwood,4,96
Arkansas Post,ARPO19,1,2011-06-08,Total,1,96
Arkansas Post,ARPO19,1,2011-06-08,Total,2,96
Arkansas Post,ARPO19,1,2011-06-08,Total,3,96
Arkansas Post,ARPO19,1,2011-06-08,Total,4,96
Arkansas Post,ARPO19,1,2015-05-18,Hardwood,1,91
Arkansas Post,ARPO19,1,2015-05-18,Hardwood,2,95
Arkansas Post,ARPO19,1,2015-05-18,Hardwood,3,91
Arkansas Post,ARPO19,1,2015-05-18,Hardwood,4,87
Arkansas Post,ARPO19,1,2015-05-18,Total,1,91
Arkansas Post,ARPO19,1,2015-05-18,Total,2,95
Arkansas Post,ARPO19,1,2015-05-18,Total,3,91
Arkansas Post,ARPO19,1,2015-05-18,Total,4,87
Arkansas Post,ARPO19,1,2019-05-21,Hardwood,1,85
Arkansas Post,ARPO19,1,2019-05-21,Hardwood,2,81
Arkansas Post,ARPO19,1,2019-05-21,Hardwood,3,64
Arkansas Post,ARPO19,1,2019-05-21,Hardwood,4,79
Arkansas Post,ARPO19,1,2019-05-21,Total,1,85
Arkansas Post,ARPO19,1,2019-05-21,Total,2,81
Arkansas Post,ARPO19,1,2019-05-21,Total,3,64
Arkansas Post,ARPO19,1,2019-05-21,Total,4,79
Arkansas Post,ARPO2,1,2007-06-05,Conifer,4,2
Arkansas Post,ARPO2,1,2007-06-05,Hardwood,1,96
Arkansas Post,ARPO2,1,2007-06-05,Hardwood,2,96
Arkansas Post,ARPO2,1,2007-06-05,Hardwood,3,96
Arkansas Post,ARPO2,1,2007-06-05,Hardwood,4,94
Arkansas Post,ARPO2,1,2007-06-05,Total,1,96
Arkansas Post,ARPO2,1,2007-06-05,Total,2,96
Arkansas Post,ARPO2,1,2007-06-05,Total,3,96
Arkansas Post,ARPO2,1,2007-06-05,Total,4,96
Arkansas Post,ARPO2,1,2011-06-08,Conifer,1,80
Arkansas Post,ARPO2,1,2011-06-08,Conifer,2,72
Arkansas Post,ARPO2,1,2011-06-08,Conifer,3,20
Arkansas Post,ARPO2,1,2011-06-08,Conifer,4,60
Arkansas Post,ARPO2,1,2011-06-08,Hardwood,1,25
Arkansas Post,ARPO2,1,2011-06-08,Hardwood,2,16
Arkansas Post,ARPO2,1,2011-06-08,Hardwood,3,56
Arkansas Post,ARPO2,1,2011-06-08,Hardwood,4,70
Arkansas Post,ARPO2,1,2011-06-08,Total,1,96
Arkansas Post,ARPO2,1,2011-06-08,Total,2,95
Arkansas Post,ARPO2,1,2011-06-08,Total,3,94
Arkansas Post,ARPO2,1,2011-06-08,Total,4,94
Arkansas Post,ARPO2,1,2015-05-18,Hardwood,1,40
Arkansas Post,ARPO2,1,2015-05-18,Hardwood,2,89
Arkansas Post,ARPO2,1,2015-05-18,Hardwood,3,88
Arkansas Post,ARPO2,1,2015-05-18,Hardwood,4,95
Arkansas Post,ARPO2,1,2015-05-18,Total,1,40
Arkansas Post,ARPO2,1,2015-05-18,Total,2,89
Arkansas Post,ARPO2,1,2015-05-18,Total,3,88
Arkansas Post,ARPO2,1,2015-05-18,Total,4,95
Arkansas Post,ARPO2,1,2019-05-21,Conifer,1,16
Arkansas Post,ARPO2,1,2019-05-21,Conifer,2,40
Arkansas Post,ARPO2,1,2019-05-21,Conifer,3,15
Arkansas Post,ARPO2,1,2019-05-21,Conifer,4,12
Arkansas Post,ARPO2,1,2019-05-21,Hardwood,1,64
Arkansas Post,ARPO2,1,2019-05-21,Hardwood,2,44
Arkansas Post,ARPO2,1,2019-05-21,Hardwood,3,72
Arkansas Post,ARPO2,1,2019-05-21,Hardwood,4,72
Arkansas Post,ARPO2,1,2019-05-21,Total,1,80
Arkansas Post,ARPO2,1,2019-05-21,Total,2,84
Arkansas Post,ARPO2,1,2019-05-21,Total,3,87
Arkansas Post,ARPO2,1,2019-05-21,Total,4,84
Arkansas Post,ARPO20,1,2007-06-06,Hardwood,1,96
Arkansas Post,ARPO20,1,2007-06-06,Hardwood,2,96
Arkansas Post,ARPO20,1,2007-06-06,Hardwood,3,96
Arkansas Post,ARPO20,1,2007-06-06,Hardwood,4,96
Arkansas Post,ARPO20,1,2007-06-06,Total,1,96
Arkansas Post,ARPO20,1,2007-06-06,Total,2,96
Arkansas Post,ARPO20,1,2007-06-06,Total,3,96
Arkansas Post,ARPO20,1,2007-06-06,Total,4,96
Arkansas Post,ARPO20,1,2011-06-08,Hardwood,1,92
Arkansas Post,ARPO20,1,2011-06-08,Hardwood,2,96
Arkansas Post,ARPO20,1,2011-06-08,Hardwood,3,96
Arkansas Post,ARPO20,1,2011-06-08,Hardwood,4,96
Arkansas Post,ARPO20,1,2011-06-08,Total,1,92
Arkansas Post,ARPO20,1,2011-06-08,Total,2,96
Arkansas Post,ARPO20,1,2011-06-08,Total,3,96
Arkansas Post,ARPO20,1,2011-06-08,Total,4,96
Arkansas Post,ARPO20,1,2015-05-18,Hardwood,1,77
Arkansas Post,ARPO20,1,2015-05-18,Hardwood,2,67
Arkansas Post,ARPO20,1,2015-05-18,Hardwood,3,76
Arkansas Post,ARPO20,1,2015-05-18,Hardwood,4,95
Arkansas Post,ARPO20,1,2015-05-18,Total,1,77
Arkansas Post,ARPO20,1,2015-05-18,Total,2,67
Arkansas Post,ARPO20,1,2015-05-18,Total,3,76
Arkansas Post,ARPO20,1,2015-05-18,Total,4,95
Arkansas Post,ARPO20,1,2019-05-21,Hardwood,1,88
Arkansas Post,ARPO20,1,2019-05-21,Hardwood,2,81
Arkansas Post,ARPO20,1,2019-05-21,Hardwood,3,89
Arkansas Post,ARPO20,1,2019-05-21,Hardwood,4,79
Arkansas Post,ARPO20,1,2019-05-21,Total,1,88
Arkansas Post,ARPO20,1,2019-05-21,Total,2,81
Arkansas Post,ARPO20,1,2019-05-21,Total,3,89
Arkansas Post,ARPO20,1,2019-05-21,Total,4,79
Arkansas Post,ARPO21,1,2007-06-05,Hardwood,2,7
Arkansas Post,ARPO21,1,2007-06-05,Hardwood,3,13
Arkansas Post,ARPO21,1,2007-06-05,Total,2,7
Arkansas Post,ARPO21,1,2007-06-05,Total,3,13
Arkansas Post,ARPO21,1,2011-06-08,Hardwood,1,36
Arkansas Post,ARPO21,1,2011-06-08,Hardwood,2,2
Arkansas Post,ARPO21,1,2011-06-08,Hardwood,3,1
Arkansas Post,ARPO21,1,2011-06-08,Hardwood,4,2
Arkansas Post,ARPO21,1,2011-06-08,Total,1,36
Arkansas Post,ARPO21,1,2011-06-08,Total,2,2
Arkansas Post,ARPO21,1,2011-06-08,Total,3,1
Arkansas Post,ARPO21,1,2011-06-08,Total,4,2
Arkansas Post,ARPO21,1,2015-05-18,Hardwood,1,24
Arkansas Post,ARPO21,1,2015-05-18,Hardwood,2,46
Arkansas Post,ARPO21,1,2015-05-18,Hardwood,3,21
Arkansas Post,ARPO21,1,2015-05-18,Hardwood,4,78
Arkansas Post,ARPO21,1,2015-05-18,Total,1,24
Arkansas Post,ARPO21,1,2015-05-18,Total,2,46
Arkansas Post,ARPO21,1,2015-05-18,Total,3,21
Arkansas Post,ARPO21,1,2015-05-18,Total,4,78
Arkansas Post,ARPO21,1,2019-05-20,Hardwood,1,90
Arkansas Post,ARPO21,1,2019-05-20,Hardwood,2,80
Arkansas Post,ARPO21,1,2019-05-20,Hardwood,3,7
Arkansas Post,ARPO21,1,2019-05-20,Hardwood,4,89
Arkansas Post,ARPO21,1,2019-05-20,Total,1,90
Arkansas Post,ARPO21,1,2019-05-20,Total,2,80
Arkansas Post,ARPO21,1,2019-05-20,Total,3,7
Arkansas Post,ARPO21,1,2019-05-20,Total,4,89
Arkansas Post,ARPO22,1,2007-06-05,Hardwood,1,95
Arkansas Post,ARPO22,1,2007-06-05,Hardwood,2,96
Arkansas Post,ARPO22,1,2007-06-05,Hardwood,3,96
Arkansas Post,ARPO22,1,2007-06-05,Hardwood,4,96
Arkansas Post,ARPO22,1,2007-06-05,Total,1,95
Arkansas Post,ARPO22,1,2007-06-05,Total,2,96
Arkansas Post,ARPO22,1,2007-06-05,Total,3,96
