"ParkName","ParkCode","Season","LocationID","EventID","RiffleNo","Replicate","Width","Depth","Velocity","Substrate","Substrate_mm","Embeddedness","Embeddedness%","Vegetation","Vegetation%","Algae","Algae%","Periphyton","Periphyton%","Deposition","Deposition%","Organics","Organics%","DETimeStamp"
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",1,"R",20.00,52.00,1.09,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",2,"L",60.00,60.00,1.16,14.00,38.50,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,3.00,57.50,1.00,5.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",2,"M",60.00,64.00,1.04,14.00,38.50,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,2.00,25.00,1.00,5.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",2,"R",60.00,52.00,1.03,14.00,38.50,2.00,25.00,1.00,5.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",3,"L",30.00,64.00,1.65,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",3,"M",30.00,30.00,1.53,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",3,"R",30.00,50.00,1.82,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",1,"L",7.30,16.00,0.63,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",1,"M",6.90,19.00,0.69,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",1,"R",7.50,16.00,0.27,16.00,77.00,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,2.00,25.00,3.00,57.50,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",2,"L",10.20,14.00,0.65,14.00,38.50,2.00,25.00,2.00,25.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",2,"M",10.40,16.00,0.72,14.00,38.50,2.00,25.00,2.00,25.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",2,"R",10.40,20.00,0.12,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",3,"L",4.00,18.00,0.61,14.00,38.50,2.00,25.00,3.00,57.50,1.00,5.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",3,"M",5.20,22.00,0.68,15.00,54.50,2.00,25.00,2.00,25.00,1.00,5.00,2.00,25.00,1.00,5.00,3.00,57.50,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT03","BUFFRMINVE2007JAN04",3,"R",4.20,14.00,0.59,15.00,54.50,2.00,25.00,2.00,25.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",1,"L",34.00,26.00,0.48,14.00,38.50,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",1,"M",32.00,18.00,0.68,14.00,38.50,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",1,"R",33.00,32.00,0.66,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",2,"L",27.00,30.00,0.66,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",2,"M",22.00,12.00,0.20,14.00,38.50,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",2,"R",19.00,28.00,0.84,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",3,"L",10.70,34.00,1.09,13.00,27.30,2.00,25.00,1.00,5.00,1.00,5.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",3,"M",10.50,34.00,1.20,15.00,54.50,2.00,25.00,1.00,5.00,1.00,5.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT09","BUFFRMINVE2007JAN09",3,"R",14.00,34.00,1.28,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",1,"L",5.50,28.00,0.82,15.00,54.50,1.00,5.00,0.00,0.00,0.00,0.00,1.00,5.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",1,"M",6.50,34.00,1.23,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,1.00,5.00,1.00,5.00,1.00,5.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",1,"R",9.30,14.00,0.91,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,1.00,5.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",2,"L",8.00,20.00,0.53,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",2,"M",8.30,9.00,0.23,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",2,"R",9.10,8.00,0.23,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",3,"L",6.50,10.00,0.23,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,1.00,5.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",3,"M",5.50,14.00,0.47,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT22","BUFFRMINVE2007JAN05",3,"R",5.50,23.00,0.64,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",1,"L",4.50,12.00,0.28,13.00,27.30,3.00,57.50,2.00,25.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",1,"M",8.30,6.00,0.10,14.00,38.50,2.00,25.00,2.00,25.00,1.00,5.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",1,"R",8.50,14.00,0.23,14.00,38.50,2.00,25.00,1.00,5.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",2,"L",4.20,4.00,0.27,13.00,27.30,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",2,"M",5.40,12.00,0.33,14.00,38.50,3.00,57.50,1.00,5.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",2,"R",6.60,6.00,0.18,13.00,27.30,3.00,57.50,1.00,5.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",3,"L",3.70,12.00,0.55,12.00,19.30,1.00,5.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",3,"M",4.20,4.00,0.13,13.00,27.30,1.00,5.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT24","BUFFRMINVE2007JAN05",3,"R",5.00,4.00,0.16,13.00,27.30,1.00,5.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT30","BUFFRMINVE2007FEB20",1,"L",12.20,10.00,0.43,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBT30","BUFFRMINVE2007FEB20",1,"M",12.30,14.00,0.66,16.00,77.00,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
