ID,YEAR,PLANTID,PHENOLOGY,PopUnit,HEIGHTCM,FLOWERPOSI,HeightInfl_cm,FlwrStage,FlwrCond,COMMENTS,TypeFlower,GPS_DATE,GPS_TIME,dwcType,dwcBasisOfRecord
44,1994,10,Reproductive,A,64,9,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
45,1994,11,Reproductive,A,73,17,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
46,1994,12,Reproductive,A,63,11,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
47,1994,13,Reproductive,A,55,15,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
48,1994,14,Reproductive,A,45,6,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
49,1994,15,Reproductive,A,48,8,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
50,1994,16,Reproductive,A,36,1,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
51,1994,17,Reproductive,A,44,7,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
52,1994,18,Reproductive,A,55,7,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
53,1995,1,Reproductive,A,59,6,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
54,1995,8,Reproductive,A,77,17,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
55,1995,9,Reproductive,A,72,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
56,1995,11,Reproductive,A,57,11,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
57,1995,16,Reproductive,A,63,10,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
58,1995,17,Reproductive,A,72,10,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
59,1995,18,Reproductive,A,75,9,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
60,1995,19,Reproductive,A,63,6,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
61,1995,20,Reproductive,A,57,7,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
62,1995,21,Reproductive,A,65,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
63,1995,22,Reproductive,A,65,14,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
64,1995,23,Reproductive,A,65,13,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
65,1995,25,Reproductive,A,56,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
66,1995,26,Reproductive,A,66,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
67,1995,27,Reproductive,A,69,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
68,1995,28,Reproductive,A,69,6,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
69,1995,29,Reproductive,A,65,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
70,1995,31,Reproductive,A,53,6,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
71,1995,32,Reproductive,A,51,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
72,1995,33,Reproductive,A,66,13,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
73,1995,34,Reproductive,A,63,6,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
74,1995,36,Reproductive,A,62,10,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
75,1995,37,Reproductive,A,59,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
76,1995,38,Reproductive,A,53,12,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
77,1995,39,Reproductive,A,63,14,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
78,1995,40,Reproductive,A,71,20,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
79,1995,41,Reproductive,A,57,7,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
80,1995,42,Reproductive,A,65,11,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
81,1995,43,Reproductive,A,63,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
82,1995,44,Reproductive,A,57,10,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
83,1995,45,Reproductive,A,48,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
84,1995,46,Reproductive,A,51,6,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
85,1995,47,Reproductive,A,45,7,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
86,1995,48,Reproductive,A,57,11,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
87,1995,49,Reproductive,A,54,8,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
88,1995,50,Reproductive,A,59,11,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
89,1995,51,Reproductive,A,60,10,NA,NA,NA,NA,Flowers Produced,1995-07-19,NA,event,HumanObservation
90,1996,1,Reproductive,A,73,8,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
91,1996,2,Reproductive,A,66,6,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
92,1996,7,Reproductive,A,77,22,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
93,1996,8,Reproductive,A,80,13,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
94,1996,9,Reproductive,A,51,5,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
95,1996,10,Reproductive,A,65,12,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
96,1996,11,Reproductive,A,47,5,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
97,1996,13,Reproductive,A,68,10,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
98,1996,14,Reproductive,A,70,10,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
99,1996,15,Reproductive,A,66,10,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
100,1996,16,Reproductive,A,55,4,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
103,1996,17,Reproductive,A,60,5,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
104,1996,18,Reproductive,A,54,8,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
105,1996,19,Reproductive,A,53,13,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
106,1996,20,Reproductive,A,70,11,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
107,1996,22,Reproductive,A,68,5,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
108,1996,23,Reproductive,A,66,7,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
109,1996,24,Reproductive,A,72,8,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
110,1996,27,Reproductive,A,48,11,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
111,1996,29,Reproductive,A,64,7,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
116,1996,32,Reproductive,A,47,5,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
117,1996,33,Reproductive,A,57,12,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
118,1996,34,Reproductive,A,58,22,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
119,1996,36,Reproductive,A,59,10,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
120,1996,37,Reproductive,A,61,12,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
121,1996,39,Reproductive,A,58,9,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
122,1996,40,Reproductive,A,46,8,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
123,1996,41,Reproductive,A,59,8,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
124,1996,42,Reproductive,A,52,6,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
125,1996,43,Reproductive,A,51,6,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
126,1996,44,Reproductive,A,44,5,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
129,1996,45,Reproductive,A,58,8,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
130,1996,47,Reproductive,A,54,11,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
131,1996,48,Reproductive,A,53,7,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
132,1996,49,Reproductive,A,55,8,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
133,1996,50,Reproductive,A,68,14,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
134,1996,51,Reproductive,A,55,11,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
135,1996,52,Reproductive,A,53,3,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
136,1996,53,Reproductive,A,53,6,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
137,1996,54,Reproductive,A,54,6,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
138,1996,55,Reproductive,A,56,5,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
139,1996,56,Reproductive,A,68,10,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
140,1996,57,Reproductive,A,71,10,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
141,1996,58,Reproductive,A,73,9,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
143,1996,59,Reproductive,A,68,12,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
144,1996,60,Reproductive,A,43,6,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
145,1996,61,Reproductive,A,43,5,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
146,1996,62,Reproductive,A,58,3,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
147,1996,63,Reproductive,A,59,10,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
148,1996,65,Reproductive,A,62,10,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
149,1996,67,Reproductive,A,66,11,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
150,1996,68,Reproductive,A,64,9,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
156,1996,80,Reproductive,A,70,9,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
157,1996,81,Reproductive,A,68,13,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
158,1996,85,Reproductive,A,64,8,NA,NA,NA,NA,Flowers Produced,1996-07-23,NA,event,HumanObservation
187,1997,17,Reproductive,A,33,13,NA,NA,NA,NA,Flowers Produced,1997-07-23,NA,event,HumanObservation
188,1997,18,Reproductive,A,46,8,NA,NA,NA,NA,Flowers Produced,1997-07-23,NA,event,HumanObservation
202,1997,25,Reproductive,A,37,7,NA,NA,NA,NA,Flowers Produced,1997-07-23,NA,event,HumanObservation
27,1999,1,Reproductive,A,66,6,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
203,1999,2,Reproductive,A,65,6,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
204,1999,3,Reproductive,A,61,10,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
205,1999,4,Reproductive,A,45,10,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
206,1999,5,Reproductive,A,57,11,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
207,1999,6,Reproductive,A,61,12,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
208,1999,7,Reproductive,A,70,8,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
209,1999,8,Reproductive,A,52,8,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
210,1999,9,Reproductive,A,50,9,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
211,1999,10,Reproductive,A,60,6,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
212,1999,11,Reproductive,A,67,9,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
213,1999,12,Reproductive,A,56,9,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
214,1999,13,Reproductive,A,42,6,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
215,1999,14,Reproductive,A,41,3,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
216,1999,15,Reproductive,A,36,3,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
424,1999,16,Reproductive,A,52,10,NA,NA,NA,NA,Flowers Produced,1999-07-29,NA,event,HumanObservation
101,2000,1,Reproductive,A,29,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
102,2000,2,Reproductive,A,59,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
112,2000,3,Reproductive,A,44,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
113,2000,4,Reproductive,A,45,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
114,2000,5,Reproductive,A,42,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
115,2000,6,Reproductive,A,48,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
127,2000,7,Reproductive,A,50,14,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
128,2000,8,Reproductive,A,69,11,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
142,2000,9,Reproductive,A,46,12,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
151,2000,10,Reproductive,A,56,10,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
152,2000,11,Reproductive,A,49,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
153,2000,12,Reproductive,A,43,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
154,2000,13,Reproductive,A,43,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
155,2000,14,Reproductive,A,55,14,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
159,2000,15,Reproductive,A,38,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
160,2000,16,Reproductive,A,47,12,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
161,2000,17,Reproductive,A,47,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
162,2000,18,Reproductive,A,43,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
163,2000,19,Reproductive,A,44,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
164,2000,20,Reproductive,A,37,3,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
165,2000,21,Reproductive,A,45,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
166,2000,22,Reproductive,A,55,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
167,2000,23,Reproductive,A,50,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
168,2000,24,Reproductive,A,48,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
169,2000,25,Reproductive,A,41,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
170,2000,26,Reproductive,A,44,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
189,2000,27,Reproductive,A,57,12,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
190,2000,28,Reproductive,A,50,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
191,2000,29,Reproductive,A,59,10,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
192,2000,30,Reproductive,A,47,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
193,2000,31,Reproductive,A,46,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
194,2000,32,Reproductive,A,41,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
195,2000,33,Reproductive,A,39,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
196,2000,34,Reproductive,A,30,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
197,2000,35,Reproductive,A,44,4,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
198,2000,36,Reproductive,A,51,10,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
199,2000,37,Reproductive,A,45,11,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
200,2000,38,Reproductive,A,54,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
201,2000,39,Reproductive,A,54,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
425,2000,40,Reproductive,A,42,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
426,2000,41,Reproductive,A,31,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
427,2000,42,Reproductive,A,45,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
428,2000,43,Reproductive,A,45,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
429,2000,44,Reproductive,A,47,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
430,2000,45,Reproductive,A,47,16,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
431,2000,46,Reproductive,A,37,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
432,2000,47,Reproductive,A,45,4,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
433,2000,48,Reproductive,A,55,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
434,2000,49,Reproductive,A,48,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
435,2000,50,Reproductive,A,38,10,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
171,2000,51,Reproductive,A,47,14,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
172,2000,52,Reproductive,A,69,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
173,2000,53,Reproductive,A,36,3,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
174,2000,54,Reproductive,A,45,2,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
175,2000,55,Reproductive,A,42,4,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
176,2000,56,Reproductive,A,58,15,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
177,2000,57,Reproductive,A,50,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
178,2000,58,Reproductive,A,46,12,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
179,2000,59,Reproductive,A,41,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
180,2000,60,Reproductive,A,50,11,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
181,2000,61,Reproductive,A,42,8,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
182,2000,62,Reproductive,A,38,3,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
183,2000,63,Reproductive,A,51,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
184,2000,64,Reproductive,A,50,5,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
185,2000,65,Reproductive,A,48,7,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
186,2000,66,Reproductive,A,56,10,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
217,2000,67,Reproductive,A,55,14,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
218,2000,68,Reproductive,A,45,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
219,2000,69,Reproductive,A,47,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
220,2000,70,Reproductive,A,54,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
254,2000,71,Reproductive,A,52,10,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
255,2000,72,Reproductive,A,60,13,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
256,2000,73,Reproductive,A,51,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
257,2000,74,Reproductive,A,54,9,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
258,2000,75,Reproductive,A,44,6,NA,NA,NA,NA,Flowers Produced,2000-07-10,NA,event,HumanObservation
