ParkName,ParkCode,LocationID,PeriodID,EventID,TransectNumber,SampleLocation,SampleLocationDescr,ChannelType,ChannelTypeDescr,HydroMoss_HY,Boulders_BO,Artificial_AR,SmallWoodDeb_SWD,LargeWoodDeb_LWD,TreesRoots_TR,OverhangVeg_OV,UndercutBank_UC,Bluff_BL,Comment
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,7,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,7,M,Middle,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,7,R,Right,main,The channel that contains the majority of flow,0,-1,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,8,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,8,M,Middle,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,8,R,Right,main,The channel that contains the majority of flow,0,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,9,L,Left,main,The channel that contains the majority of flow,0,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,9,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,9,R,Right,main,The channel that contains the majority of flow,0,-1,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,10,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,10,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,10,R,Right,main,The channel that contains the majority of flow,0,-1,0,-1,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,11,L,Left,main,The channel that contains the majority of flow,0,-1,0,-1,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,11,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,11,R,Right,main,The channel that contains the majority of flow,0,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,L,Left,main,The channel that contains the majority of flow,0,-1,0,0,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,island 90 meters wide
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,R,Right,main,The channel that contains the majority of flow,-1,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,2,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,2,L,Left,side channel,The channel that contains the lesser amount of flow,0,-1,0,-1,0,0,0,0,0,island 61 meters wide
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,2,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,2,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,2,R,Right,main,The channel that contains the majority of flow,-1,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,2,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,3,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,3,L,Left,side channel,The channel that contains the lesser amount of flow,-1,0,0,-1,0,0,0,0,0,island 48 meters wide
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,3,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,3,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,3,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,3,R,Right,side channel,The channel that contains the lesser amount of flow,-1,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,4,L,Left,main,The channel that contains the majority of flow,0,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,4,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,island 22 meters wide
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,4,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,4,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,4,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,4,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,5,L,Left,main,The channel that contains the majority of flow,0,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,5,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,-1,0,0,0,0,island 12 meters wide
island 12 meters wide
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,5,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,5,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,5,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,5,R,Right,side channel,The channel that contains the lesser amount of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,6,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,6,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,6,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,7,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,7,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,7,R,Right,main,The channel that contains the majority of flow,0,-1,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,8,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,8,M,Middle,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,8,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,9,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,9,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,9,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,10,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,10,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,10,R,Right,main,The channel that contains the majority of flow,0,-1,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,11,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,11,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,11,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,2,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,2,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,2,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,2,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,2,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,2,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,3,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,3,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,3,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,3,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,3,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,3,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,4,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,4,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,4,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,4,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,4,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,4,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,5,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,5,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,5,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,5,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,5,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,5,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,6,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,6,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,6,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,7,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,7,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,7,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,8,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,8,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,8,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,9,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,9,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,9,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,10,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,10,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,10,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,M,Middle,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,2,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,2,L,Left,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,2,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,2,M,Middle,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,2,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,2,R,Right,side channel,The channel that contains the lesser amount of flow,0,0,0,0,0,0,0,0,-1,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,3,L,Left,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
