ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,ChannelTypeDescr,TransectNumber,SampleLocation,SampleLocationDescr,Season,BankAngle,BankAngleDescr,BankVegCover,BankVegCoverDescr,BankHeight,BankHeightDescr,BankSubstrate,BankSubstrateDescr,LargeTrees_TR,SmTreesShrubs_SH,GrassForbes_GR,BareRockSediment_BA,Artificial_AR,Comment
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,6,L,Left,2006,2.00,31-60 degrees,2.00,50-80%,3.00,2.1-3 meter,2.00,Boulder/cobble,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,6,R,Right,2006,3.00,>60 degrees,1.00,>80%,5.00,>4 meter,10.00,Gravel/sand,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,7,L,Left,2006,2.00,31-60 degrees,2.00,50-80%,2.00,1.1-2 meter,5.00,Silt,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,7,R,Right,2006,3.00,>60 degrees,3.00,20-49%,5.00,>4 meter,10.00,Gravel/sand,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,8,L,Left,2006,1.00,0-30 degrees,1.00,>80%,1.00,0-1 meter,2.00,Boulder/cobble,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,8,R,Right,2006,3.00,>60 degrees,3.00,20-49%,5.00,>4 meter,10.00,Gravel/sand,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,9,L,Left,2006,2.00,31-60 degrees,1.00,>80%,1.00,0-1 meter,5.00,Silt,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,9,R,Right,2006,3.00,>60 degrees,3.00,20-49%,5.00,>4 meter,2.00,Boulder/cobble,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,10,L,Left,2006,3.00,>60 degrees,1.00,>80%,2.00,1.1-2 meter,5.00,Silt,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,10,R,Right,2006,3.00,>60 degrees,2.00,50-80%,5.00,>4 meter,2.00,Boulder/cobble,0,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,11,L,Left,2006,3.00,>60 degrees,3.00,20-49%,5.00,>4 meter,2.00,Boulder/cobble,0,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,The channel that contains the majority of flow,11,R,Right,2006,3.00,>60 degrees,3.00,20-49%,5.00,>4 meter,2.00,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,1,L,Left,2007,3.00,>60 degrees,3.00,20-49%,3.00,2.1-3 meter,2.00,Boulder/cobble,-1,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,1,R,Right,2007,3.00,>60 degrees,3.00,20-49%,5.00,>4 meter,10.00,Gravel/sand,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,2,L,Left,2007,3.00,>60 degrees,3.00,20-49%,3.00,2.1-3 meter,2.00,Boulder/cobble,-1,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,2,R,Right,2007,3.00,>60 degrees,2.00,50-80%,5.00,>4 meter,2.00,Boulder/cobble,-1,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,3,L,Left,2007,3.00,>60 degrees,3.00,20-49%,3.00,2.1-3 meter,2.00,Boulder/cobble,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,3,R,Right,2007,2.00,31-60 degrees,2.00,50-80%,2.00,1.1-2 meter,5.00,Silt,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,4,L,Left,2007,2.00,31-60 degrees,3.00,20-49%,2.00,1.1-2 meter,2.00,Boulder/cobble,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,4,R,Right,2007,2.00,31-60 degrees,1.00,>80%,2.00,1.1-2 meter,5.00,Silt,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,5,L,Left,2007,1.00,0-30 degrees,4.00,<20%,1.00,0-1 meter,2.00,Boulder/cobble,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,5,R,Right,2007,3.00,>60 degrees,2.00,50-80%,2.00,1.1-2 meter,5.00,Silt,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,6,L,Left,2007,2.00,31-60 degrees,2.00,50-80%,2.00,1.1-2 meter,2.00,Boulder/cobble,-1,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,6,R,Right,2007,3.00,>60 degrees,2.00,50-80%,4.00,3.1-4 meter,5.00,Silt,-1,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,7,L,Left,2007,1.00,0-30 degrees,2.00,50-80%,1.00,0-1 meter,2.00,Boulder/cobble,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,7,R,Right,2007,3.00,>60 degrees,2.00,50-80%,3.00,2.1-3 meter,2.00,Boulder/cobble,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,8,L,Left,2007,2.00,31-60 degrees,2.00,50-80%,2.00,1.1-2 meter,5.00,Silt,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,8,R,Right,2007,3.00,>60 degrees,3.00,20-49%,4.00,3.1-4 meter,2.00,Boulder/cobble,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,9,L,Left,2007,3.00,>60 degrees,2.00,50-80%,1.00,0-1 meter,5.00,Silt,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,9,R,Right,2007,3.00,>60 degrees,2.00,50-80%,4.00,3.1-4 meter,2.00,Boulder/cobble,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,10,L,Left,2007,3.00,>60 degrees,2.00,50-80%,2.00,1.1-2 meter,5.00,Silt,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,10,R,Right,2007,3.00,>60 degrees,2.00,50-80%,3.00,2.1-3 meter,2.00,Boulder/cobble,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,11,L,Left,2007,3.00,>60 degrees,2.00,50-80%,4.00,3.1-4 meter,10.00,Gravel/sand,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,The channel that contains the majority of flow,11,R,Right,2007,3.00,>60 degrees,2.00,50-80%,2.00,1.1-2 meter,2.00,Boulder/cobble,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,1,L,Left,2007,3.00,>60 degrees,2.00,50-80%,3.00,2.1-3 meter,10.00,Gravel/sand,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,1,R,Right,2007,1.00,0-30 degrees,3.00,20-49%,1.00,0-1 meter,10.00,Gravel/sand,-1,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,2,L,Left,2007,3.00,>60 degrees,2.00,50-80%,3.00,2.1-3 meter,10.00,Gravel/sand,-1,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,2,R,Right,2007,1.00,0-30 degrees,3.00,20-49%,1.00,0-1 meter,10.00,Gravel/sand,0,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,3,L,Left,2007,1.00,0-30 degrees,2.00,50-80%,1.00,0-1 meter,2.00,Boulder/cobble,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,3,R,Right,2007,2.00,31-60 degrees,2.00,50-80%,1.00,0-1 meter,10.00,Gravel/sand,0,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,4,L,Left,2007,3.00,>60 degrees,2.00,50-80%,2.00,1.1-2 meter,10.00,Gravel/sand,-1,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,4,R,Right,2007,2.00,31-60 degrees,3.00,20-49%,1.00,0-1 meter,2.00,Boulder/cobble,0,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,5,L,Left,2007,2.00,31-60 degrees,2.00,50-80%,1.00,0-1 meter,10.00,Gravel/sand,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,The channel that contains the lesser amount of flow,5,R,Right,2007,1.00,0-30 degrees,4.00,<20%,1.00,0-1 meter,2.00,Boulder/cobble,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,1,L,Left,2008,3.00,>60 degrees,1.00,>80%,3.00,2.1-3 meter,2.00,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,1,R,Right,2008,3.00,>60 degrees,2.00,50-80%,5.00,>4 meter,10.00,Gravel/sand,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,2,L,Left,2008,3.00,>60 degrees,1.00,>80%,4.00,3.1-4 meter,2.00,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,2,R,Right,2008,3.00,>60 degrees,2.00,50-80%,5.00,>4 meter,10.00,Gravel/sand,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,3,L,Left,2008,1.00,0-30 degrees,1.00,>80%,2.00,1.1-2 meter,2.00,Boulder/cobble,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,3,R,Right,2008,1.00,0-30 degrees,1.00,>80%,1.00,0-1 meter,5.00,Silt,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,4,L,Left,2008,1.00,0-30 degrees,2.00,50-80%,2.00,1.1-2 meter,2.00,Boulder/cobble,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,4,R,Right,2008,2.00,31-60 degrees,1.00,>80%,1.00,0-1 meter,2.00,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,5,L,Left,2008,1.00,0-30 degrees,3.00,20-49%,1.00,0-1 meter,2.00,Boulder/cobble,0,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,5,R,Right,2008,3.00,>60 degrees,1.00,>80%,3.00,2.1-3 meter,5.00,Silt,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,6,L,Left,2008,2.00,31-60 degrees,1.00,>80%,1.00,0-1 meter,10.00,Gravel/sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,6,R,Right,2008,3.00,>60 degrees,2.00,50-80%,5.00,>4 meter,10.00,Gravel/sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,7,L,Left,2008,1.00,0-30 degrees,1.00,>80%,1.00,0-1 meter,8.00,Sand,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,7,R,Right,2008,3.00,>60 degrees,1.00,>80%,5.00,>4 meter,2.00,Boulder/cobble,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,8,L,Left,2008,1.00,0-30 degrees,1.00,>80%,1.00,0-1 meter,8.00,Sand,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,8,R,Right,2008,3.00,>60 degrees,1.00,>80%,5.00,>4 meter,2.00,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,9,L,Left,2008,3.00,>60 degrees,1.00,>80%,1.00,0-1 meter,8.00,Sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,9,R,Right,2008,3.00,>60 degrees,1.00,>80%,5.00,>4 meter,2.00,Boulder/cobble,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,10,L,Left,2008,2.00,31-60 degrees,1.00,>80%,3.00,2.1-3 meter,2.00,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,The channel that contains the majority of flow,10,R,Right,2008,3.00,>60 degrees,1.00,>80%,5.00,>4 meter,8.00,Sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,1,L,Left,2008,1.00,0-30 degrees,1.00,>80%,1.00,0-1 meter,10.00,Gravel/sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,1,R,Right,2008,3.00,>60 degrees,1.00,>80%,2.00,1.1-2 meter,10.00,Gravel/sand,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,2,L,Left,2008,1.00,0-30 degrees,1.00,>80%,1.00,0-1 meter,10.00,Gravel/sand,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,2,R,Right,2008,3.00,>60 degrees,1.00,>80%,4.00,3.1-4 meter,2.00,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,3,L,Left,2008,1.00,0-30 degrees,1.00,>80%,3.00,2.1-3 meter,10.00,Gravel/sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,3,R,Right,2008,1.00,0-30 degrees,2.00,50-80%,1.00,0-1 meter,8.00,Sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,4,L,Left,2008,2.00,31-60 degrees,1.00,>80%,2.00,1.1-2 meter,2.00,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,4,R,Right,2008,1.00,0-30 degrees,2.00,50-80%,1.00,0-1 meter,2.00,Boulder/cobble,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,5,L,Left,2008,1.00,0-30 degrees,2.00,50-80%,1.00,0-1 meter,8.00,Sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,The channel that contains the lesser amount of flow,5,R,Right,2008,1.00,0-30 degrees,3.00,20-49%,1.00,0-1 meter,2.00,Boulder/cobble,0,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,1,L,Left,2009,2.00,31-60 degrees,2.00,50-80%,3.00,2.1-3 meter,2.00,Boulder/cobble,0,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,1,R,Right,2009,2.00,31-60 degrees,2.00,50-80%,5.00,>4 meter,5.00,Silt,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,2,L,Left,2009,3.00,>60 degrees,2.00,50-80%,3.00,2.1-3 meter,2.00,Boulder/cobble,0,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,2,R,Right,2009,2.00,31-60 degrees,2.00,50-80%,2.00,1.1-2 meter,8.00,Sand,-1,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,3,L,Left,2009,3.00,>60 degrees,2.00,50-80%,3.00,2.1-3 meter,2.00,Boulder/cobble,0,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,3,R,Right,2009,2.00,31-60 degrees,1.00,>80%,2.00,1.1-2 meter,2.00,Boulder/cobble,0,-1,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,4,L,Left,2009,1.00,0-30 degrees,2.00,50-80%,2.00,1.1-2 meter,2.00,Boulder/cobble,0,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,4,R,Right,2009,1.00,0-30 degrees,3.00,20-49%,1.00,0-1 meter,8.00,Sand,0,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,5,L,Left,2009,1.00,0-30 degrees,2.00,50-80%,1.00,0-1 meter,2.00,Boulder/cobble,0,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,5,R,Right,2009,3.00,>60 degrees,1.00,>80%,3.00,2.1-3 meter,8.00,Sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,6,L,Left,2009,1.00,0-30 degrees,3.00,20-49%,1.00,0-1 meter,2.00,Boulder/cobble,0,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,6,R,Right,2009,2.00,31-60 degrees,1.00,>80%,3.00,2.1-3 meter,8.00,Sand,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,7,L,Left,2009,1.00,0-30 degrees,2.00,50-80%,2.00,1.1-2 meter,2.00,Boulder/cobble,0,0,-1,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,7,R,Right,2009,3.00,>60 degrees,2.00,50-80%,3.00,2.1-3 meter,2.00,Boulder/cobble,-1,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,main,The channel that contains the majority of flow,8,L,Left,2009,1.00,0-30 degrees,2.00,50-80%,2.00,1.1-2 meter,8.00,Sand,0,-1,-1,0,0,
